"",BBK01.OEXI03V,BBK01.OEXI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:46,
2002-01,4.851,
2002-04,3.094,
2002-07,2.870,
2002-10,4.965,
2003-01,1.723,
2003-04,1.691,
2003-07,2.632,
2003-10,1.596,
2004-01,1.251,
2004-04,1.011,
2004-07,0.847,
2004-10,0.910,
2005-01,0.795,
2005-04,0.765,
2005-07,0.743,
2005-10,0.827,
2006-01,0.854,
2006-04,1.158,
2006-07,1.454,
2006-10,1.228,
2007-01,1.457,
2007-04,1.609,
2007-07,1.716,
2007-10,1.752,
2008-01,2.101,
2008-04,2.219,
2008-07,2.127,
2008-10,1.648,
2009-01,1.056,
2009-04,0.816,
2009-07,0.607,
2009-10,0.554,
2010-01,0.554,
2010-04,0.605,
2010-07,0.569,
2010-10,0.574,
2011-01,0.810,
2011-04,0.710,
2011-07,1.097,
2011-10,1.661,
2012-01,1.849,
2012-04,1.913,
2012-07,1.984,
2012-10,2.045,
2013-01,2.091,
2013-04,2.178,
2013-07,2.264,
2013-10,2.473,
2014-01,2.172,
2014-04,2.328,
2014-07,2.362,
