"",BBK01.CELS0J,BBK01.CELS0J_FLAGS
"",Savings certificates  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:41,
1999-01,-5.5,
1999-04,-2.2,
1999-07,-1.8,
1999-10,-0.2,
2000-01,-3.0,
2000-04,-0.5,
2000-07,-0.3,
2000-10,1.0,
2001-01,0.9,
2001-04,0.1,
2001-07,-0.2,
2001-10,-2.1,
2002-01,-0.7,
2002-04,0.6,
2002-07,0.1,
2002-10,-0.2,
2003-01,-2.0,
2003-04,-1.5,
2003-07,-1.4,
2003-10,0.6,
2004-01,-0.2,
2004-04,-0.9,
2004-07,-0.5,
2004-10,-0.1,
2005-01,-1.6,
2005-04,-1.3,
2005-07,-1.6,
2005-10,0.1,
2006-01,0.7,
2006-04,1.1,
2006-07,2.2,
2006-10,2.8,
2007-01,4.8,
2007-04,4.1,
2007-07,5.1,
2007-10,6.2,
2008-01,3.6,
2008-04,3.6,
2008-07,4.0,
2008-10,5.8,
2009-01,-5.4,
2009-04,-10.7,
2009-07,-9.7,
2009-10,-5.6,
2010-01,-2.6,
2010-04,-0.7,
2010-07,-1.0,
2010-10,1.1,
2011-01,1.8,
2011-04,3.7,
2011-07,1.8,
2011-10,2.3,
2012-01,-1.0,
2012-04,-1.3,
2012-07,-2.9,
2012-10,-4.2,
2013-01,-5.9,
2013-04,-5.3,
2013-07,-2.9,
2013-10,-1.5,
2014-01,-2.5,
2014-04,-2.9,
2014-07,-2.8,
