"",BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:52,
1991-01,0.976,
1991-04,10.708,
1991-07,0.520,
1991-10,0.533,
1992-01,-0.192,
1992-04,-0.344,
1992-07,18.425,
1992-10,0.377,
1993-01,-0.864,
1993-04,-1.084,
1993-07,3.830,
1993-10,4.232,
1994-01,0.260,
1994-04,0.830,
1994-07,1.324,
1994-10,0.583,
1995-01,-5.200,
1995-04,-1.998,
1995-07,6.605,
1995-10,8.440,
1996-01,7.650,
1996-04,3.409,
1996-07,4.252,
1996-10,15.763,
1997-01,0.148,
1997-04,-2.912,
1997-07,16.406,
1997-10,58.496,
1998-01,30.425,
1998-04,46.126,
1998-07,41.781,
1998-10,14.979,
1999-01,16.044,
1999-04,-1.770,
1999-07,3.026,
1999-10,9.810,
2000-01,27.912,
2000-04,-3.480,
2000-07,11.832,
2000-10,32.538,
2001-01,-6.497,
2001-04,40.216,
2001-07,-23.941,
2001-10,33.351,
2002-01,-37.918,
2002-04,-5.947,
2002-07,-8.485,
2002-10,100.883,
2003-01,-94.523,
2003-04,1.048,
2003-07,1.372,
2003-10,63.973,
2004-01,-65.712,
2004-04,19.204,
2004-07,4.619,
2004-10,37.479,
2005-01,-5.195,
2005-04,42.607,
2005-07,18.485,
2005-10,31.266,
2006-01,1.624,
2006-04,-60.884,
2006-07,52.710,
2006-10,-32.998,
2007-01,7.108,
2007-04,34.188,
2007-07,-87.516,
2007-10,59.479,
2008-01,39.158,
2008-04,-59.147,
2008-07,-22.776,
2008-10,-15.880,
2009-01,-42.726,
2009-04,-21.934,
2009-07,0.403,
2009-10,22.716,
2010-01,-16.279,
2010-04,-8.895,
2010-07,17.114,
2010-10,122.256,
2011-01,-28.062,
2011-04,-0.243,
2011-07,89.267,
2011-10,72.967,
2012-01,93.921,
2012-04,-46.436,
2012-07,-23.873,
2012-10,59.357,
2013-01,-8.709,
2013-04,19.313,
2013-07,99.470,
2013-10,155.579,
2014-01,-178.095,Provisional value
2014-04,2.192,Provisional value
2014-07,38.510,Provisional value
2014-10,21.898,Provisional value
