"",BBK01.OEAC23J,BBK01.OEAC23J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:08,
2002-01,0.106,
2002-04,0.102,
2002-07,0.055,
2002-10,0.071,
2003-01,0.062,
2003-04,0.040,
2003-07,0.241,
2003-10,0.208,
2004-01,0.029,
2004-04,0.032,
2004-07,0.095,
2004-10,0.565,
2005-01,0.054,
2005-04,0.118,
2005-07,0.047,
2005-10,0.024,
2006-01,0.060,
2006-04,0.076,
2006-07,0.055,
2006-10,0.040,
2007-01,0.034,
2007-04,0.042,
2007-07,0.053,
2007-10,0.015,
2008-01,0.061,
2008-04,0.045,
2008-07,0.100,
2008-10,0.109,
2009-01,0.101,
2009-04,0.097,
2009-07,0.096,
2009-10,0.025,
2010-01,0.017,
2010-04,0.048,
2010-07,0.051,
2010-10,0.051,
2011-01,0.060,
2011-04,0.082,
2011-07,0.076,
2011-10,0.094,
2012-01,0.148,
2012-04,0.131,
2012-07,0.147,
2012-10,0.080,
2013-01,0.083,
2013-04,0.083,
2013-07,0.103,
2013-10,0.088,
2014-01,0.105,
2014-04,0.118,
2014-07,0.131,
