"",BBK01.OEBM02T,BBK01.OEBM02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:27,
2002-01,0.116,
2002-04,0.120,
2002-07,0.120,
2002-10,0.146,
2003-01,0.158,
2003-04,0.166,
2003-07,0.178,
2003-10,0.186,
2004-01,0.170,
2004-04,0.269,
2004-07,0.265,
2004-10,0.295,
2005-01,0.456,
2005-04,0.458,
2005-07,0.496,
2005-10,0.457,
2006-01,0.441,
2006-04,0.428,
2006-07,0.366,
2006-10,0.409,
2007-01,0.343,
2007-04,0.392,
2007-07,0.440,
2007-10,0.366,
2008-01,0.378,
2008-04,0.340,
2008-07,0.310,
2008-10,0.496,
2009-01,0.607,
2009-04,0.625,
2009-07,0.635,
2009-10,0.562,
2010-01,0.482,
2010-04,0.606,
2010-07,0.538,
2010-10,0.701,
2011-01,0.557,
2011-04,0.544,
2011-07,0.719,
2011-10,0.632,
2012-01,0.362,
2012-04,0.225,
2012-07,0.305,
2012-10,0.304,
2013-01,0.229,
2013-04,0.253,
2013-07,0.222,
2013-10,0.203,
2014-01,0.098,
2014-04,0.157,
2014-07,0.227,
