"",BBNZ1.Q.DE.S.I.0000.A,BBNZ1.Q.DE.S.I.0000.A_FLAGS
"",Germany / National accounts / Overall economy / GDP / Price index / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:38:10,
1991-01,75.51,
1991-04,77.23,
1991-07,77.84,
1991-10,79.41,
1992-01,80.05,
1992-04,81.16,
1992-07,82.13,
1992-10,83.10,
1993-01,83.97,
1993-04,84.97,
1993-07,85.24,
1993-10,85.77,
1994-01,86.37,
1994-04,86.63,
1994-07,86.95,
1994-10,87.37,
1995-01,87.74,
1995-04,88.55,
1995-07,88.91,
1995-10,89.03,
1996-01,88.97,
1996-04,89.00,
1996-07,89.12,
1996-10,89.32,
1997-01,89.27,
1997-04,89.15,
1997-07,89.31,
1997-10,89.52,
1998-01,89.36,
1998-04,89.86,
1998-07,90.00,
1998-10,90.21,
1999-01,90.16,
1999-04,90.23,
1999-07,90.21,
1999-10,89.97,
2000-01,89.84,
2000-04,89.54,
2000-07,89.84,
2000-10,89.72,
2001-01,90.31,
2001-04,90.46,
2001-07,91.03,
2001-10,91.67,
2002-01,91.85,
2002-04,91.62,
2002-07,92.30,
2002-10,92.59,
2003-01,92.92,
2003-04,92.89,
2003-07,93.57,
2003-10,93.45,
2004-01,93.92,
2004-04,94.26,
2004-07,94.42,
2004-10,94.30,
2005-01,94.68,
2005-04,94.75,
2005-07,94.93,
2005-10,94.88,
2006-01,94.83,
2006-04,95.10,
2006-07,95.15,
2006-10,95.28,
2007-01,96.28,
2007-04,96.58,
2007-07,96.85,
2007-10,97.08,
2008-01,97.25,
2008-04,97.51,
2008-07,97.54,
2008-10,97.85,
2009-01,98.64,
2009-04,99.00,
2009-07,99.52,
2009-10,99.82,
2010-01,99.67,
2010-04,99.64,
2010-07,100.12,
2010-10,100.51,
2011-01,100.53,
2011-04,100.94,
2011-07,101.33,
2011-10,101.72,
2012-01,101.91,
2012-04,102.33,
2012-07,102.91,
2012-10,103.47,
2013-01,104.01,
2013-04,104.68,
2013-07,104.92,
2013-10,105.44,
2014-01,105.96,
2014-04,106.56,
2014-07,106.66,
2014-10,107.10,
