"",BBSF2.M.1.S.00000.GEM01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.GEM01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Mixed securities funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:00,
2009-09,185718,
2009-10,188437,
2009-11,189689,
2009-12,190238,
2010-01,194620,
2010-02,195083,
2010-03,198973,
2010-04,192851,
2010-05,189088,
2010-06,190672,
2010-07,195377,
2010-08,199877,
2010-09,199049,
2010-10,202824,
2010-11,198749,
2010-12,209507,
2011-01,211020,
2011-02,215624,
2011-03,215182,
2011-04,216514,
2011-05,216979,
2011-06,216093,
2011-07,216271,
2011-08,209805,
2011-09,206246,
2011-10,207544,
2011-11,201961,
2011-12,204857,
2012-01,204035,
2012-02,212177,
2012-03,214674,
2012-04,215674,
2012-05,214095,
2012-06,213616,
2012-07,218420,
2012-08,221660,
2012-09,222783,
2012-10,224935,
2012-11,229978,
2012-12,235605,
2013-01,236649,
2013-02,240529,
2013-03,244491,
2013-04,250288,
2013-05,251914,
2013-06,247431,
2013-07,252915,
2013-08,252819,
2013-09,256526,
2013-10,260089,
2013-11,259479,
2013-12,258865,
2014-01,259780,
2014-02,263951,
2014-03,265100,
2014-04,266709,
2014-05,271762,
2014-06,273927,
2014-07,275836,
2014-08,291780,
2014-09,290919,
2014-10,290340,
2014-11,294968,
