"",BBK01.OEYM10M,BBK01.OEYM10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:28,
2002-01,5.217,
2002-04,5.241,
2002-07,5.235,
2002-10,5.247,
2003-01,5.226,
2003-04,5.226,
2003-07,5.184,
2003-10,5.190,
2004-01,3.938,
2004-04,3.931,
2004-07,4.236,
2004-10,1.428,
2005-01,1.408,
2005-04,1.380,
2005-07,1.357,
2005-10,1.340,
2006-01,1.352,
2006-04,1.544,
2006-07,1.886,
2006-10,1.527,
2007-01,2.499,
2007-04,2.447,
2007-07,2.366,
2007-10,2.412,
2008-01,0.047,
2008-04,0.046,
2008-07,0.044,
2008-10,0.037,
2009-01,0.036,
2009-04,0.041,
2009-07,0.039,
2009-10,0.039,
2010-01,0.030,
2010-04,0.032,
2010-07,0.032,
2010-10,0.030,
2011-01,0.030,
2011-04,0.029,
2011-07,0.026,
2011-10,0.026,
2012-01,0.026,
2012-04,0.026,
2012-07,0.024,
2012-10,0.024,
2013-01,0.022,
2013-04,0.021,
2013-07,0.021,
2013-10,0.021,
2014-01,0.018,
2014-04,0.019,
2014-07,0.018,
