"",BBSF2.M.1.T.00000.REN01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Bonds funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:47,
2009-09,106,
2009-10,203,
2009-11,856,
2009-12,2804,
2010-01,1584,
2010-02,546,
2010-03,537,
2010-04,842,
2010-05,315,
2010-06,250,
2010-07,212,
2010-08,162,
2010-09,133,
2010-10,149,
2010-11,1001,
2010-12,3056,
2011-01,1988,
2011-02,1305,
2011-03,534,
2011-04,483,
2011-05,500,
2011-06,208,
2011-07,116,
2011-08,187,
2011-09,420,
2011-10,254,
2011-11,1241,
2011-12,3257,
2012-01,1872,
2012-02,1490,
2012-03,785,
2012-04,401,
2012-05,389,
2012-06,450,
2012-07,335,
2012-08,351,
2012-09,513,
2012-10,269,
2012-11,1177,
2012-12,2706,
2013-01,2412,
2013-02,1673,
2013-03,718,
2013-04,339,
2013-05,403,
2013-06,404,
2013-07,27,
2013-08,262,
2013-09,495,
2013-10,498,
2013-11,2452,
2013-12,2312,
2014-01,1804,
2014-02,1693,
2014-03,561,
2014-04,321,
2014-05,366,
2014-06,432,
2014-07,83,
2014-08,297,
2014-09,274,
2014-10,201,
2014-11,2520,
