"",BBK01.TQ7014,BBK01.TQ7014_FLAGS
"",Deposit takers - Large exposures to capital FSI-I014,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:27,
2005-10,194.75,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,175.72,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,165.66,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,110.00,
2009-01,105.20,
2009-04,96.06,
2009-07,88.59,
2009-10,87.46,
2010-01,88.96,
2010-04,95.74,
2010-07,84.90,
2010-10,129.40,
2011-01,96.81,
2011-04,92.67,
2011-07,104.05,
2011-10,97.28,
2012-01,91.81,
2012-04,84.79,
2012-07,80.40,
2012-10,71.32,
2013-01,75.98,
2013-04,69.48,
2013-07,66.98,
2013-10,65.26,
2014-01,113.92,
2014-04,103.91,
2014-07,219.63,
