"",BBK01.OEAA24N,BBK01.OEAA24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:10,
2002-01,2.413,
2002-04,2.411,
2002-07,2.380,
2002-10,2.393,
2003-01,2.358,
2003-04,2.388,
2003-07,2.369,
2003-10,2.425,
2004-01,2.357,
2004-04,2.370,
2004-07,2.350,
2004-10,2.084,
2005-01,2.050,
2005-04,2.015,
2005-07,2.007,
2005-10,2.021,
2006-01,1.968,
2006-04,1.911,
2006-07,2.039,
2006-10,2.078,
2007-01,2.051,
2007-04,2.052,
2007-07,1.992,
2007-10,2.002,
2008-01,1.957,
2008-04,1.943,
2008-07,1.926,
2008-10,1.811,
2009-01,1.792,
2009-04,1.859,
2009-07,1.762,
2009-10,2.062,
2010-01,1.693,
2010-04,1.677,
2010-07,1.686,
2010-10,1.686,
2011-01,1.674,
2011-04,1.664,
2011-07,1.642,
2011-10,1.626,
2012-01,1.600,
2012-04,1.584,
2012-07,1.536,
2012-10,1.543,
2013-01,1.533,
2013-04,1.510,
2013-07,1.511,
2013-10,1.481,
2014-01,1.451,
2014-04,1.430,
2014-07,1.382,
