"",BBFB1.Q.N.DE.B5.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:40,
1999-01,6748.740,
1999-04,9397.775,
1999-07,12926.817,
1999-10,7377.121,
2000-01,7156.583,
2000-04,10119.646,
2000-07,13936.837,
2000-10,7904.351,
2001-01,7172.978,
2001-04,10125.984,
2001-07,14196.937,
2001-10,7776.269,
2002-01,7522.437,
2002-04,9854.237,
2002-07,13820.446,
2002-10,7301.719,
2003-01,7252.375,
2003-04,10709.458,
2003-07,15753.689,
2003-10,7514.119,
2004-01,7344.632,
2004-04,10771.241,
2004-07,14237.130,
2004-10,7460.875,
2005-01,7710.175,
2005-04,9960.099,
2005-07,15237.423,
2005-10,8019.979,
2006-01,7289.393,
2006-04,10585.663,
2006-07,15061.263,
2006-10,7226.261,
2007-01,7114.610,
2007-04,10617.892,
2007-07,15594.685,
2007-10,7712.086,
2008-01,7584.428,
2008-04,10842.852,
2008-07,16089.498,
2008-10,8205.464,
2009-01,6781.080,
2009-04,9887.391,
2009-07,15206.096,
2009-10,7494.862,
2010-01,6457.870,
2010-04,10024.858,
2010-07,14846.305,
2010-10,7764.024,
2011-01,6722.194,
2011-04,10275.743,
2011-07,16003.753,
2011-10,7829.591,
2012-01,6604.235,
2012-04,10335.083,
2012-07,16587.289,
2012-10,7869.430,
2013-01,7498.116,
2013-04,10941.040,
2013-07,18155.460,
2013-10,9291.254,
2014-01,7476.412,Provisional value
2014-04,11562.008,Provisional value
2014-07,19185.683,Provisional value
2014-10,9422.067,Provisional value
