"",BBK01.OEAC48I,BBK01.OEAC48I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:42,
2002-01,1.481,
2002-04,1.588,
2002-07,1.548,
2002-10,1.546,
2003-01,1.393,
2003-04,1.312,
2003-07,1.229,
2003-10,1.166,
2004-01,1.126,
2004-04,1.103,
2004-07,1.108,
2004-10,1.105,
2005-01,1.098,
2005-04,0.980,
2005-07,0.874,
2005-10,0.850,
2006-01,0.838,
2006-04,0.754,
2006-07,0.785,
2006-10,0.788,
2007-01,0.796,
2007-04,0.767,
2007-07,0.765,
2007-10,0.845,
2008-01,0.865,
2008-04,0.840,
2008-07,0.823,
2008-10,1.067,
2009-01,1.271,
2009-04,1.459,
2009-07,3.574,
2009-10,3.573,
2010-01,3.842,
2010-04,4.013,
2010-07,4.142,
2010-10,4.230,
2011-01,4.336,
2011-04,4.381,
2011-07,4.515,
2011-10,4.599,
2012-01,4.765,
2012-04,4.835,
2012-07,4.920,
2012-10,5.027,
2013-01,4.918,
2013-04,4.973,
2013-07,5.377,
2013-10,5.467,
2014-01,5.461,
2014-04,5.408,
2014-07,5.317,
