"",BBFN1.M.DE.N.1.L.LI.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LI.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2013-02,0.701,
2013-03,0.706,
2013-04,0.703,
2013-05,0.688,
2013-06,0.832,
2013-07,0.822,
2013-08,0.819,
2013-09,0.689,
2013-10,0.831,
2013-11,0.804,
2013-12,0.253,
2014-01,0.246,
2014-02,0.243,
2014-03,0.243,
2014-04,0.248,
2014-05,0.253,
2014-06,0.239,
2014-07,0.241,
2014-08,0.241,
2014-09,0.247,
2014-10,0.240,
2014-11,0.214,
2014-12,0.697,
