"",BBK01.OEXI01M,BBK01.OEXI01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:30,
2002-01,17.954,
2002-04,17.598,
2002-07,18.894,
2002-10,18.754,
2003-01,19.254,
2003-04,20.010,
2003-07,19.852,
2003-10,20.156,
2004-01,20.724,
2004-04,20.991,
2004-07,22.287,
2004-10,22.923,
2005-01,21.730,
2005-04,21.761,
2005-07,21.638,
2005-10,21.391,
2006-01,21.533,
2006-04,21.924,
2006-07,21.368,
2006-10,21.621,
2007-01,21.600,
2007-04,22.415,
2007-07,22.161,
2007-10,23.519,
2008-01,24.819,
2008-04,25.819,
2008-07,24.860,
2008-10,30.428,
2009-01,34.176,
2009-04,36.808,
2009-07,35.568,
2009-10,35.473,
2010-01,35.354,
2010-04,35.833,
2010-07,35.606,
2010-10,37.880,
2011-01,37.982,
2011-04,38.412,
2011-07,40.143,
2011-10,42.760,
2012-01,41.834,
2012-04,43.799,
2012-07,45.275,
2012-10,44.721,
2013-01,44.460,
2013-04,45.958,
2013-07,44.966,
2013-10,43.504,
2014-01,43.243,
2014-04,47.313,
2014-07,46.858,
