"",BBSF2.M.1.T.00000.TOT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:06,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,10005,
1993-05,9854,
1993-06,10317,
1993-07,11658,
1993-08,11219,
1993-09,11562,
1993-10,11884,
1993-11,13454,
1993-12,11933,
1994-01,14015,
1994-02,12624,
1994-03,12974,
1994-04,12766,
1994-05,13220,
1994-06,12244,
1994-07,12800,
1994-08,13607,
1994-09,13727,
1994-10,13969,
1994-11,11945,
1994-12,12331,
1995-01,13123,
1995-02,14192,
1995-03,15094,
1995-04,15485,
1995-05,16771,
1995-06,17368,
1995-07,15608,
1995-08,14288,
1995-09,13938,
1995-10,13470,
1995-11,12898,
1995-12,14566,
1996-01,15608,
1996-02,17080,
1996-03,16515,
1996-04,13933,
1996-05,15311,
1996-06,15344,
1996-07,17579,
1996-08,16129,
1996-09,16008,
1996-10,17763,
1996-11,14932,
1996-12,15754,
1997-01,16810,
1997-02,16708,
1997-03,18980,
1997-04,17663,
1997-05,18108,
1997-06,17247,
1997-07,18776,
1997-08,19714,
1997-09,19582,
1997-10,20977,
1997-11,21039,
1997-12,22744,
1998-01,24832,
1998-02,21055,
1998-03,22840,
1998-04,22942,
1998-05,23162,
1998-06,22117,
1998-07,22396,
1998-08,24412,
1998-09,28558,
1998-10,32961,
1998-11,30728,
1998-12,31090,
1999-01,28388,
1999-02,28872,
1999-03,26987,
1999-04,27865,
1999-05,31277,
1999-06,30389,
1999-07,31416,
1999-08,30327,
1999-09,32652,
1999-10,32783,
1999-11,31602,
1999-12,31630,
2000-01,37574,
2000-02,37222,
2000-03,36331,
2000-04,40586,
2000-05,43228,
2000-06,36922,
2000-07,37325,
2000-08,34811,
2000-09,35779,
2000-10,36929,
2000-11,37194,
2000-12,38096,
2001-01,38642,
2001-02,41488,
2001-03,39439,
2001-04,40475,
2001-05,40398,
2001-06,39096,
2001-07,39300,
2001-08,43397,
2001-09,45221,
2001-10,45653,
2001-11,45658,
2001-12,42619,
2002-01,40750,
2002-02,38968,
2002-03,37784,
2002-04,38743,
2002-05,39731,
2002-06,42309,
2002-07,45302,
2002-08,43897,
2002-09,45579,
2002-10,49147,
2002-11,55516,
2002-12,46725,
2003-01,45849,
2003-02,45378,
2003-03,49788,
2003-04,50491,
2003-05,50625,
2003-06,49577,
2003-07,47550,
2003-08,48311,
2003-09,48849,
2003-10,47222,
2003-11,45990,
2003-12,42371,
2004-01,45823,
2004-02,43815,
2004-03,42561,
2004-04,44589,
2004-05,42593,
2004-06,40085,
2004-07,39518,
2004-08,39493,
2004-09,38080,
2004-10,37949,
2004-11,38555,
2004-12,34842,
2005-01,39449,
2005-02,41329,
2005-03,38436,
2005-04,37875,
2005-05,37586,
2005-06,40552,
2005-07,41610,
2005-08,40972,
2005-09,41938,
2005-10,39392,
2005-11,36895,
2005-12,34552,
2006-01,36009,
2006-02,35132,
2006-03,36028,
2006-04,38234,
2006-05,39160,
2006-06,39984,
2006-07,37076,
2006-08,36534,
2006-09,35657,
2006-10,34787,
2006-11,34797,
2006-12,34269,
2007-01,39504,
2007-02,37903,
2007-03,36868,
2007-04,39930,
2007-05,38111,
2007-06,40817,
2007-07,40814,
2007-08,43976,
2007-09,49418,
2007-10,49816,
2007-11,53293,
2007-12,52945,
2008-01,57317,
2008-02,58324,
2008-03,62478,
2008-04,63015,
2008-05,66227,
2008-06,63124,
2008-07,66340,
2008-08,67082,
2008-09,70877,
2008-10,74948,
2008-11,74111,
2008-12,70429,
2009-01,67188,
2009-02,65248,
2009-03,60757,
2009-04,57373,
2009-05,50111,
2009-06,48434,
2009-07,45314,
2009-08,42941,
2009-09,71719,
2009-10,70392,
2009-11,67518,
2009-12,63164,
2010-01,65252,
2010-02,64827,
2010-03,58640,
2010-04,51910,
2010-05,58876,
2010-06,60178,
2010-07,62008,
2010-08,60570,
2010-09,60080,
2010-10,56803,
2010-11,59529,
2010-12,56311,
2011-01,62524,
2011-02,65191,
2011-03,64539,
2011-04,65680,
2011-05,64808,
2011-06,65610,
2011-07,66488,
2011-08,73244,
2011-09,77989,
2011-10,78324,
2011-11,78912,
2011-12,74226,
2012-01,75544,
2012-02,72353,
2012-03,72111,
2012-04,73433,
2012-05,75824,
2012-06,76579,
2012-07,74780,
2012-08,72962,
2012-09,73636,
2012-10,72710,
2012-11,72469,
2012-12,68417,
2013-01,70180,
2013-02,70083,
2013-03,71363,
2013-04,71783,
2013-05,69620,
2013-06,74817,
2013-07,74218,
2013-08,72115,
2013-09,71865,
2013-10,76207,
2013-11,68168,
2013-12,70050,
2014-01,71080,
2014-02,71436,
2014-03,69625,
2014-04,77113,
2014-05,77057,
2014-06,68711,
2014-07,69350,
2014-08,70495,
2014-09,70827,
2014-10,69613,
2014-11,67649,
