"",BBK01.QUV496,BBK01.QUV496_FLAGS
"",Banks in Germany: Claims on non-residents / Kazakhstan / US dollar,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:24:56,
2001-12,0.079,
2002-01,0.088,
2002-02,0.095,
2002-03,0.097,
2002-04,0.120,
2002-05,0.119,
2002-06,0.108,
2002-07,0.155,
2002-08,0.164,
2002-09,0.174,
2002-10,0.177,
2002-11,0.202,
2002-12,0.162,
2003-01,0.154,
2003-02,0.176,
2003-03,0.187,
2003-04,0.174,
2003-05,0.175,
2003-06,0.193,
2003-07,0.223,
2003-08,0.263,
2003-09,0.273,
2003-10,0.277,
2003-11,0.277,
2003-12,0.276,
2004-01,0.287,
2004-02,0.285,
2004-03,0.304,
2004-04,0.379,
2004-05,0.406,
2004-06,0.417,
2004-07,0.439,
2004-08,0.478,
2004-09,0.492,
2004-10,0.473,
2004-11,0.471,
2004-12,0.448,
2005-01,0.484,
2005-02,0.466,
2005-03,0.512,
2005-04,0.549,
2005-05,0.590,
2005-06,0.602,
2005-07,0.645,
2005-08,0.777,
2005-09,0.810,
2005-10,0.787,
2005-11,0.787,
2005-12,0.830,
2006-01,0.764,
2006-02,0.782,
2006-03,0.785,
2006-04,0.924,
2006-05,0.660,
2006-06,0.753,
2006-07,0.654,
2006-08,0.775,
2006-09,0.821,
2006-10,0.870,
2006-11,0.877,
2006-12,1.876,
2007-01,1.526,
2007-02,1.051,
2007-03,1.118,
2007-04,1.146,
2007-05,1.083,
2007-06,2.344,
2007-07,1.138,
2007-08,1.387,
2007-09,1.464,
2007-10,1.421,
2007-11,1.360,
2007-12,1.744,
2008-01,1.655,
2008-02,1.300,
2008-03,1.234,
2008-04,1.231,
2008-05,1.256,
2008-06,1.258,
2008-07,1.299,
2008-08,1.277,
2008-09,1.300,
2008-10,1.386,
2008-11,1.338,
2008-12,0.998,
2009-01,1.069,
2009-02,1.009,
2009-03,0.916,
2009-04,0.846,
2009-05,0.744,
2009-06,0.711,
2009-07,0.702,
2009-08,0.645,
2009-09,0.568,
2009-10,0.544,
2009-11,0.486,
2009-12,0.479,
2010-01,0.457,
2010-02,0.472,
2010-03,0.466,
2010-04,0.470,
2010-05,0.487,
2010-06,0.489,
2010-07,0.478,
2010-08,0.551,
2010-09,0.564,
2010-10,0.582,
2010-11,0.591,
2010-12,0.523,
2011-01,0.513,
2011-02,0.558,
2011-03,0.466,
2011-04,0.416,
2011-05,0.448,
2011-06,0.441,
2011-07,0.443,
2011-08,0.433,
2011-09,0.423,
2011-10,0.427,
2011-11,0.432,
2011-12,0.427,
2012-01,0.374,
2012-02,0.353,
2012-03,0.340,
2012-04,0.340,
2012-05,0.365,
2012-06,0.301,
2012-07,0.304,
2012-08,0.321,
2012-09,0.313,
2012-10,0.307,
2012-11,0.295,
2012-12,0.241,
2013-01,0.219,
2013-02,0.222,
2013-03,0.211,
2013-04,0.200,
2013-05,0.206,
2013-06,0.195,
2013-07,0.185,
2013-08,0.181,
2013-09,0.166,
2013-10,0.160,
2013-11,0.160,
2013-12,0.156,
2014-01,0.159,
2014-02,0.154,
2014-03,0.178,
2014-04,0.099,
2014-05,0.082,
2014-06,0.082,
2014-07,0.085,
2014-08,0.083,
2014-09,0.081,
2014-10,0.081,
2014-11,0.108,
2014-12,0.090,
