"",BBK01.OEHB22T,BBK01.OEHB22T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:28,
2002-01,0.076,
2002-04,0.085,
2002-07,0.097,
2002-10,0.088,
2003-01,0.096,
2003-04,0.114,
2003-07,0.159,
2003-10,0.176,
2004-01,0.167,
2004-04,0.230,
2004-07,0.284,
2004-10,0.261,
2005-01,0.252,
2005-04,0.315,
2005-07,0.296,
2005-10,0.339,
2006-01,0.339,
2006-04,0.412,
2006-07,0.532,
2006-10,0.543,
2007-01,0.652,
2007-04,0.692,
2007-07,0.676,
2007-10,0.787,
2008-01,0.632,
2008-04,0.573,
2008-07,0.513,
2008-10,0.702,
2009-01,0.393,
2009-04,0.343,
2009-07,0.282,
2009-10,0.356,
2010-01,0.334,
2010-04,0.250,
2010-07,0.284,
2010-10,0.241,
2011-01,0.278,
2011-04,0.238,
2011-07,0.239,
2011-10,0.215,
2012-01,0.270,
2012-04,0.210,
2012-07,0.233,
2012-10,0.249,
2013-01,0.253,
2013-04,0.229,
2013-07,0.293,
2013-10,0.275,
2014-01,0.348,
2014-04,0.377,
2014-07,0.413,
