"",BBSF2.M.1.T.00000.HED01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.HED01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Hedgefunds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:08,
2009-09,128,
2009-10,117,
2009-11,105,
2009-12,114,
2010-01,114,
2010-02,122,
2010-03,355,
2010-04,-6525,
2010-05,-1845,
2010-06,282,
2010-07,78,
2010-08,81,
2010-09,86,
2010-10,117,
2010-11,77,
2010-12,94,
2011-01,89,
2011-02,88,
2011-03,114,
2011-04,117,
2011-05,94,
2011-06,86,
2011-07,121,
2011-08,101,
2011-09,108,
2011-10,109,
2011-11,113,
2011-12,117,
2012-01,144,
2012-02,109,
2012-03,151,
2012-04,255,
2012-05,140,
2012-06,164,
2012-07,181,
2012-08,179,
2012-09,191,
2012-10,197,
2012-11,186,
2012-12,169,
2013-01,169,
2013-02,167,
2013-03,161,
2013-04,169,
2013-05,184,
2013-06,161,
2013-07,188,
2013-08,207,
2013-09,196,
2013-10,192,
2013-11,184,
2013-12,168,
2014-01,255,
2014-02,184,
2014-03,178,
2014-04,346,
2014-05,198,
2014-06,185,
2014-07,196,
2014-08,195,
2014-09,183,
2014-10,156,
2014-11,156,
