"",BBEX3.M.MXN.USD.CA.AB.A01,BBEX3.M.MXN.USD.CA.AB.A01_FLAGS
2010-07,12.6600,
2010-08,13.2340,
2010-09,12.6250,
2010-10,12.3660,
2010-11,12.4610,
2010-12,12.3650,
2011-01,12.1591,
2011-02,12.1050,
2011-03,11.8903,
2011-04,11.5038,
2011-05,11.5682,
2011-06,11.7100,
2011-07,11.7269,
2011-08,12.3440,
2011-09,13.8835,
2011-10,13.2988,
2011-11,13.6670,
2011-12,13.9725,
2012-01,13.0278,
2012-02,12.7849,
2012-03,12.8035,
2012-04,13.0311,
2012-05,14.2941,
2012-06,13.3396,
2012-07,13.3115,
2012-08,13.2000,
2012-09,12.8593,
2012-10,13.0714,
2012-11,12.9390,
2012-12,12.8704,
2013-01,12.7170,
2013-02,12.7489,
2013-03,12.3339,
2013-04,12.1411,
2013-05,12.8041,
2013-06,12.9795,
2013-07,12.7850,
2013-08,13.3900,
2013-09,13.1524,
2013-10,13.0400,
2013-11,13.1175,
2013-12,13.0900,
2014-01,13.3160,
2014-02,13.2460,
2014-03,13.0640,
2014-04,13.0850,
2014-05,12.8560,
2014-06,12.9865,
2014-07,13.2050,
2014-08,13.0700,
2014-09,13.4235,
2014-10,13.4715,
2014-11,13.9080,
2014-12,14.7475,
2015-01,14.9500,
"","General: Currency conversion with effect from 1 January 1993 at the rate of 1,000 Mexican peso (MXP) = 1 Mexican new peso (MXN). On 1 January 1996, the currency name was changed from Mexican new peso (MXN) to Mexican peso (MXN).",
"","Source: Since end of May 2003: Banco de México, Mexico City 1993 - April 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
