"",BBSF2.M.1.T.00000.TOT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.TOT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds total / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:11,
2009-09,152729,
2009-10,150791,
2009-11,151618,
2009-12,151782,
2010-01,151853,
2010-02,153294,
2010-03,154896,
2010-04,158528,
2010-05,160672,
2010-06,160747,
2010-07,159524,
2010-08,163171,
2010-09,160799,
2010-10,157683,
2010-11,156701,
2010-12,157956,
2011-01,154767,
2011-02,154393,
2011-03,152750,
2011-04,151129,
2011-05,152629,
2011-06,152134,
2011-07,156334,
2011-08,160493,
2011-09,161078,
2011-10,161137,
2011-11,160575,
2011-12,162559,
2012-01,157879,
2012-02,157279,
2012-03,154823,
2012-04,154841,
2012-05,156701,
2012-06,154087,
2012-07,155407,
2012-08,155145,
2012-09,153297,
2012-10,151389,
2012-11,148889,
2012-12,147921,
2013-01,143779,
2013-02,146645,
2013-03,146770,
2013-04,145925,
2013-05,144550,
2013-06,143723,
2013-07,143883,
2013-08,143980,
2013-09,142363,
2013-10,139975,
2013-11,137770,
2013-12,136787,
2014-01,137835,
2014-02,137532,
2014-03,137171,
2014-04,134983,
2014-05,134910,
2014-06,136286,
2014-07,137814,
2014-08,139878,
2014-09,139703,
2014-10,142011,
2014-11,142229,
