"",BBK01.OEAE20N,BBK01.OEAE20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:41,
2002-01,0.781,
2002-04,0.743,
2002-07,0.727,
2002-10,0.762,
2003-01,0.926,
2003-04,0.946,
2003-07,0.944,
2003-10,0.785,
2004-01,0.757,
2004-04,0.750,
2004-07,0.816,
2004-10,0.748,
2005-01,0.733,
2005-04,0.726,
2005-07,0.717,
2005-10,0.681,
2006-01,0.664,
2006-04,0.635,
2006-07,0.637,
2006-10,0.634,
2007-01,0.670,
2007-04,0.710,
2007-07,0.763,
2007-10,0.905,
2008-01,0.897,
2008-04,0.969,
2008-07,1.015,
2008-10,1.019,
2009-01,0.816,
2009-04,0.781,
2009-07,0.887,
2009-10,1.015,
2010-01,0.965,
2010-04,0.920,
2010-07,1.351,
2010-10,1.438,
2011-01,1.309,
2011-04,1.370,
2011-07,1.304,
2011-10,1.290,
2012-01,1.266,
2012-04,1.292,
2012-07,1.187,
2012-10,1.225,
2013-01,1.170,
2013-04,1.254,
2013-07,1.278,
2013-10,1.318,
2014-01,1.354,
2014-04,1.522,
2014-07,0.997,
