"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:55,
1991-01,1268.295,
1991-02,485.084,
1991-03,2001.326,
1991-04,1305.892,
1991-05,1168.516,
1991-06,1846.916,
1991-07,2561.025,
1991-08,900.449,
1991-09,1309.752,
1991-10,978.685,
1991-11,2063.702,
1991-12,3849.491,
1992-01,943.630,
1992-02,880.290,
1992-03,1148.523,
1992-04,959.192,
1992-05,1017.375,
1992-06,1043.086,
1992-07,1286.627,
1992-08,961.835,
1992-09,1881.783,
1992-10,1013.115,
1992-11,817.877,
1992-12,3179.600,
1993-01,1170.347,
1993-02,794.005,
1993-03,1512.471,
1993-04,865.621,
1993-05,601.576,
1993-06,1253.825,
1993-07,970.579,
1993-08,1240.096,
1993-09,1250.205,
1993-10,1118.274,
1993-11,918.344,
1993-12,3260.996,
1994-01,983.116,
1994-02,491.921,
1994-03,2405.710,
1994-04,1291.214,
1994-05,1179.854,
1994-06,1708.336,
1994-07,604.417,
1994-08,949.025,
1994-09,660.838,
1994-10,1299.272,
1994-11,833.953,
1994-12,3991.560,
1995-01,4126.170,
1995-02,1201.514,
1995-03,2321.645,
1995-04,3400.923,
1995-05,1382.827,
1995-06,3565.291,
1995-07,927.060,
1995-08,2033.913,
1995-09,1061.071,
1995-10,1284.475,
1995-11,1928.724,
1995-12,5904.731,
1996-01,4074.756,
1996-02,4182.738,
1996-03,3995.539,
1996-04,3711.328,
1996-05,4560.246,
1996-06,981.118,
1996-07,1046.578,
1996-08,559.649,
1996-09,6077.570,
1996-10,2592.921,
1996-11,5759.445,
1996-12,9119.137,
1997-01,10887.258,
1997-02,4025.345,
1997-03,5132.890,
1997-04,5020.598,
1997-05,443.804,
1997-06,2413.627,
1997-07,2601.847,
1997-08,-4425.246,
1997-09,8789.831,
1997-10,82.479,
1997-11,1589.442,
1997-12,6734.704,
1998-01,4606.812,
1998-02,9451.626,
1998-03,13813.498,
1998-04,9494.914,
1998-05,7398.897,
1998-06,-1563.978,
1998-07,-1198.671,
1998-08,-4336.847,
1998-09,12318.034,
1998-10,-1463.184,
1998-11,35809.159,
1998-12,2038.114,
1999-01,2419.831,
1999-02,10724.728,
1999-03,15852.379,
1999-04,11808.699,
1999-05,16322.729,
1999-06,16919.498,
1999-07,-9478.255,
1999-08,7394.109,
1999-09,5355.730,
1999-10,14231.386,
1999-11,8811.136,
1999-12,30746.452,
2000-01,7668.196,
2000-02,13482.283,
2000-03,20069.297,
2000-04,13538.505,
2000-05,25267.876,
2000-06,8030.541,
2000-07,-312.092,
2000-08,10840.582,
2000-09,7355.615,
2000-10,15476.831,
2000-11,6155.946,
2000-12,-24381.993,
2001-01,9632.161,
2001-02,7763.122,
