"",BBK01.OEAC01J,BBK01.OEAC01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:28,
2002-01,12.723,
2002-04,12.881,
2002-07,13.360,
2002-10,13.351,
2003-01,13.363,
2003-04,13.193,
2003-07,13.049,
2003-10,12.739,
2004-01,12.765,
2004-04,12.927,
2004-07,12.774,
2004-10,13.109,
2005-01,13.126,
2005-04,13.302,
2005-07,13.311,
2005-10,13.496,
2006-01,13.741,
2006-04,13.858,
2006-07,13.912,
2006-10,12.420,
2007-01,12.648,
2007-04,12.838,
2007-07,13.142,
2007-10,13.239,
2008-01,13.402,
2008-04,13.778,
2008-07,13.594,
2008-10,13.563,
2009-01,13.549,
2009-04,13.610,
2009-07,13.471,
2009-10,13.466,
2010-01,13.480,
2010-04,16.987,
2010-07,16.568,
2010-10,17.001,
2011-01,16.924,
2011-04,16.819,
2011-07,16.912,
2011-10,17.075,
2012-01,16.542,
2012-04,17.856,
2012-07,18.073,
2012-10,17.953,
2013-01,17.987,
2013-04,17.778,
2013-07,18.128,
2013-10,17.905,
2014-01,17.846,
2014-04,17.778,
2014-07,17.763,
