"",BBK01.PQG360,BBK01.PQG360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Land banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:15,
1968-10,0.151,
1969-01,0.147,
1969-04,0.152,
1969-07,0.155,
1969-10,0.182,
1970-01,0.213,
1970-04,0.222,
1970-07,0.251,
1970-10,0.273,
1971-01,0.279,
1971-04,0.283,
1971-07,0.323,
1971-10,0.358,
1972-01,0.364,
1972-04,0.376,
1972-07,0.439,
1972-10,0.466,
1973-01,0.488,
1973-04,0.495,
1973-07,0.492,
1973-10,0.501,
1974-01,0.494,
1974-04,0.489,
1974-07,0.476,
1974-10,0.461,
1975-01,0.441,
1975-04,0.411,
1975-07,0.391,
1975-10,0.384,
1976-01,0.338,
1976-04,0.359,
1976-07,0.333,
1976-10,0.286,
1977-01,0.280,
1977-04,0.263,
1977-07,0.268,
1977-10,0.268,
1978-01,0.255,
1978-04,0.252,
1978-07,0.254,
1978-10,0.260,
1979-01,0.275,
1979-04,0.275,
1979-07,0.288,
1979-10,0.326,
1980-01,0.324,
1980-04,0.335,
1980-07,0.330,
1980-10,0.355,
1981-01,0.373,
1981-04,0.435,
1981-07,0.497,
1981-10,0.628,
1982-01,0.681,
1982-04,0.734,
1982-07,0.772,
1982-10,0.842,
1983-01,0.884,
1983-04,0.897,
1983-07,0.909,
1983-10,0.903,
1984-01,0.853,
1984-04,0.810,
1984-07,0.748,
1984-10,0.661,
1985-01,0.614,
1985-04,0.579,
1985-07,0.535,
1985-10,0.509,
1986-01,0.447,
1986-04,0.414,
1986-07,0.395,
1986-10,0.395,
1987-01,0.311,
1987-04,0.307,
1987-07,0.312,
1987-10,0.328,
1988-01,0.288,
1988-04,0.285,
1988-07,0.277,
1988-10,0.300,
1989-01,0.273,
1989-04,0.276,
1989-07,0.276,
1989-10,0.287,
1990-01,0.286,
1990-04,0.329,
1990-07,0.351,
1990-10,0.407,
1991-01,0.398,
1991-04,0.427,
1991-07,0.443,
1991-10,0.495,
1992-01,0.528,
1992-04,0.515,
1992-07,0.517,
1992-10,0.486,
1993-01,0.456,
1993-04,0.555,
1993-07,0.551,
1993-10,0.578,
1994-01,0.656,
1994-04,0.631,
1994-07,0.692,
1994-10,0.715,
1995-01,0.699,
1995-04,0.687,
1995-07,0.707,
1995-10,0.667,
1996-01,0.625,
1996-04,0.624,
1996-07,0.659,
1996-10,0.775,
1997-01,0.848,
1997-04,0.825,
1997-07,0.940,
1997-10,0.880,
1998-01,0.937,
1998-04,0.815,
1998-07,0.787,
1998-10,0.566,
1999-01,1.658,
1999-04,1.692,
1999-07,1.719,
1999-10,1.672,
2000-01,1.638,
2000-04,1.648,
2000-07,1.737,
2000-10,1.847,
2001-01,1.931,
2001-04,1.972,
2001-07,1.917,
2001-10,1.921,
2002-01,1.905,
2002-04,2.018,
2002-07,1.968,
2002-10,2.136,
2003-01,2.087,
2003-04,1.991,
2003-07,1.994,
2003-10,1.893,
2004-01,1.937,
2004-04,1.971,
2004-07,1.839,
2004-10,1.572,
2005-01,1.580,
2005-04,1.478,
2005-07,1.746,
2005-10,1.513,
2006-01,1.371,
2006-04,1.389,
2006-07,1.338,
2006-10,1.322,
2007-01,1.266,
2007-04,1.207,
2007-07,1.174,
2007-10,1.129,
2008-01,1.052,
2008-04,1.033,
2008-07,0.972,
2008-10,0.902,
2009-01,0.918,
2009-04,0.898,
2009-07,0.879,
2009-10,0.882,
2010-01,0.843,
2010-04,0.845,
2010-07,0.797,
2010-10,0.735,
2011-01,0.712,
2011-04,0.755,
2011-07,0.775,
2011-10,0.756,
2012-01,0.777,
2012-04,0.750,
2012-07,0.706,
2012-10,0.702,
2013-01,0.704,
2013-04,0.692,
2013-07,0.731,
2013-10,0.687,
2014-01,0.674,
2014-04,0.626,
2014-07,0.610,
2014-10,0.615,
