"",BBK01.OEHJ05M,BBK01.OEHJ05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:39,
2002-01,0.579,
2002-04,0.559,
2002-07,0.548,
2002-10,0.515,
2003-01,0.514,
2003-04,0.469,
2003-07,0.455,
2003-10,0.464,
2004-01,0.438,
2004-04,0.423,
2004-07,0.459,
2004-10,0.510,
2005-01,0.489,
2005-04,0.475,
2005-07,0.470,
2005-10,0.474,
2006-01,0.459,
2006-04,0.453,
2006-07,0.445,
2006-10,0.457,
2007-01,0.415,
2007-04,0.411,
2007-07,0.413,
2007-10,0.406,
2008-01,0.408,
2008-04,0.492,
2008-07,0.761,
2008-10,0.855,
2009-01,0.857,
2009-04,0.889,
2009-07,0.768,
2009-10,0.860,
2010-01,0.953,
2010-04,1.016,
2010-07,0.999,
2010-10,1.028,
2011-01,1.044,
2011-04,1.108,
2011-07,1.111,
2011-10,1.128,
2012-01,1.108,
2012-04,1.092,
2012-07,1.076,
2012-10,1.054,
2013-01,1.074,
2013-04,1.071,
2013-07,1.087,
2013-10,1.089,
2014-01,1.093,
2014-04,1.089,
2014-07,0.995,
