"",BBFB1.Q.N.DE.D09.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:09,
1991-01,-22.136,
1991-04,-0.025,
1991-07,0.581,
1991-10,0.222,
1992-01,0.474,
1992-04,3.052,
1992-07,0.479,
1992-10,0.460,
1993-01,-0.216,
1993-04,0.795,
1993-07,-1.493,
1993-10,0.458,
1994-01,0.044,
1994-04,-0.996,
1994-07,-0.423,
1994-10,0.149,
1995-01,-0.424,
1995-04,-2.761,
1995-07,0.463,
1995-10,-0.561,
1996-01,1.180,
1996-04,-0.040,
1996-07,-0.075,
1996-10,28.714,
1997-01,-28.828,
1997-04,0.698,
1997-07,-0.623,
1997-10,-0.373,
1998-01,1.383,
1998-04,0.411,
1998-07,0.107,
1998-10,3.445,
1999-01,3.970,
1999-04,15.951,
1999-07,-5.957,
1999-10,6.563,
2000-01,-8.884,
2000-04,-6.032,
2000-07,6.480,
2000-10,0.097,
2001-01,-0.520,
2001-04,0.813,
2001-07,-3.163,
2001-10,-5.100,
2002-01,0.190,
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,100.000,
2003-04,100.000,
2003-07,-13.000,
2003-10,0.000,
2004-01,-,Nothing exists
2004-04,1.000,
2004-07,-,Nothing exists
2004-10,2.000,
2005-01,-5.000,
2005-04,1.000,
2005-07,-1.000,
2005-10,0.000,
2006-01,-1.000,
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,1.000,
2007-01,-1.000,
2007-04,-,Nothing exists
2007-07,1.000,
2007-10,-,Nothing exists
2008-01,33.000,
2008-04,-30.000,
2008-07,3.000,
2008-10,-2.000,
2009-01,-4.000,
2009-04,-,Nothing exists
2009-07,-1.000,
2009-10,0.000,
2010-01,-1.000,
2010-04,2.000,
2010-07,-2.000,
2010-10,0.000,
2011-01,-,Nothing exists
2011-04,0.000,
2011-07,0.000,
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,2.000,
2012-10,-0.449,
2013-01,-0.030,
2013-04,-0.450,
2013-07,-,Nothing exists
2013-10,-0.004,
2014-01,-0.003,
2014-04,-1.985,
2014-07,0.000,
2014-10,-0.005,
