"",BBFB1.Q.N.DE.I7.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:48,
1991-01,4463.252,
1991-04,5143.297,
1991-07,5029.897,
1991-10,5252.393,
1992-01,5451.172,
1992-04,5644.845,
1992-07,5811.478,
1992-10,6316.689,
1993-01,6710.193,
1993-04,6570.174,
1993-07,6537.822,
1993-10,6658.048,
1994-01,7098.698,
1994-04,6737.197,
1994-07,6986.121,
1994-10,7351.943,
1995-01,7665.857,
1995-04,7899.564,
1995-07,7799.721,
1995-10,8549.401,
1996-01,7594.262,
1996-04,7827.101,
1996-07,9867.515,
1996-10,8058.669,
1997-01,9202.050,
1997-04,9157.698,
1997-07,8999.847,
1997-10,9864.523,
1998-01,9483.460,
1998-04,10365.949,
1998-07,9973.513,
1998-10,11135.288,
1999-01,11194.205,
1999-04,12774.539,
1999-07,12375.669,
1999-10,14199.260,
2000-01,11756.502,
2000-04,14311.367,
2000-07,15610.247,
2000-10,15484.082,
2001-01,15668.950,
2001-04,17071.198,
2001-07,15788.203,
2001-10,16380.094,
2002-01,17119.661,
2002-04,18379.719,
2002-07,17589.800,
2002-10,17580.073,
2003-01,17481.504,
2003-04,19092.194,
2003-07,17703.542,
2003-10,17953.346,
2004-01,17914.469,
2004-04,18565.975,
2004-07,17337.401,
2004-10,18118.282,
2005-01,18891.103,
2005-04,20845.226,
2005-07,19563.320,
2005-10,19958.683,
2006-01,19209.468,
2006-04,22458.653,
2006-07,20023.128,
2006-10,21127.681,
2007-01,25022.628,
2007-04,29210.561,
2007-07,25369.057,
2007-10,25137.661,
2008-01,21800.455,
2008-04,26272.958,
2008-07,22022.834,
2008-10,19838.887,
2009-01,16973.460,
2009-04,18997.338,
2009-07,14495.350,
2009-10,15008.710,
2010-01,18432.326,
2010-04,23788.519,
2010-07,20232.953,
2010-10,21271.839,
2011-01,19705.595,
2011-04,25658.152,
2011-07,18754.916,
2011-10,19070.131,
2012-01,18645.370,
2012-04,22003.136,
2012-07,18087.320,
2012-10,18115.686,
2013-01,18160.475,
2013-04,21585.376,
2013-07,18651.037,
2013-10,17389.298,
2014-01,17424.341,Provisional value
2014-04,21610.221,Provisional value
2014-07,16963.464,Provisional value
