"",BBK01.OEAC38Q,BBK01.OEAC38Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:47,
2002-01,0.331,
2002-04,0.335,
2002-07,0.325,
2002-10,0.349,
2003-01,0.345,
2003-04,0.374,
2003-07,0.360,
2003-10,0.364,
2004-01,0.262,
2004-04,0.197,
2004-07,0.223,
2004-10,0.310,
2005-01,0.295,
2005-04,0.282,
2005-07,0.421,
2005-10,0.450,
2006-01,0.377,
2006-04,0.282,
2006-07,0.244,
2006-10,0.238,
2007-01,0.237,
2007-04,0.230,
2007-07,0.199,
2007-10,0.125,
2008-01,0.112,
2008-04,0.105,
2008-07,0.196,
2008-10,0.272,
2009-01,0.276,
2009-04,0.341,
2009-07,0.522,
2009-10,0.523,
2010-01,0.543,
2010-04,0.457,
2010-07,0.391,
2010-10,0.383,
2011-01,0.414,
2011-04,0.381,
2011-07,0.295,
2011-10,0.284,
2012-01,0.290,
2012-04,0.170,
2012-07,0.172,
2012-10,0.241,
2013-01,0.244,
2013-04,0.227,
2013-07,0.186,
2013-10,0.160,
2014-01,0.141,
2014-04,0.111,
2014-07,0.121,
