"",BBK01.OEXJ03G,BBK01.OEXJ03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:35,
2002-01,13.082,
2002-04,13.364,
2002-07,13.069,
2002-10,13.202,
2003-01,13.835,
2003-04,14.067,
2003-07,13.197,
2003-10,13.385,
2004-01,13.434,
2004-04,13.989,
2004-07,14.192,
2004-10,14.361,
2005-01,7.010,
2005-04,7.126,
2005-07,1.340,
2005-10,1.216,
2006-01,1.233,
2006-04,1.288,
2006-07,1.070,
2006-10,1.192,
2007-01,1.254,
2007-04,1.477,
2007-07,1.710,
2007-10,1.470,
2008-01,1.482,
2008-04,1.841,
2008-07,1.945,
2008-10,1.918,
2009-01,1.927,
2009-04,1.844,
2009-07,1.833,
2009-10,1.788,
2010-01,2.221,
2010-04,1.930,
2010-07,1.723,
2010-10,2.443,
2011-01,2.501,
2011-04,2.405,
2011-07,3.693,
2011-10,3.951,
2012-01,3.911,
2012-04,4.105,
2012-07,4.013,
2012-10,3.685,
2013-01,3.806,
2013-04,3.978,
2013-07,4.475,
2013-10,4.165,
2014-01,4.927,
2014-04,5.055,
2014-07,5.228,
