"",BBK01.OEXB07K,BBK01.OEXB07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:29,
2002-01,2.107,
2002-04,2.029,
2002-07,2.141,
2002-10,2.440,
2003-01,2.594,
2003-04,3.141,
2003-07,4.125,
2003-10,3.528,
2004-01,4.301,
2004-04,3.689,
2004-07,3.825,
2004-10,3.686,
2005-01,3.077,
2005-04,3.039,
2005-07,3.168,
2005-10,3.284,
2006-01,3.353,
2006-04,3.466,
2006-07,3.521,
2006-10,3.695,
2007-01,3.776,
2007-04,4.014,
2007-07,4.115,
2007-10,4.067,
2008-01,4.130,
2008-04,4.238,
2008-07,4.399,
2008-10,4.651,
2009-01,4.784,
2009-04,5.051,
2009-07,4.937,
2009-10,5.110,
2010-01,5.008,
2010-04,3.624,
2010-07,3.702,
2010-10,3.594,
2011-01,3.501,
2011-04,3.565,
2011-07,3.602,
2011-10,3.610,
2012-01,3.522,
2012-04,3.473,
2012-07,3.594,
2012-10,3.524,
2013-01,3.676,
2013-04,3.777,
2013-07,3.799,
2013-10,3.879,
2014-01,3.728,
2014-04,3.607,
2014-07,3.851,
