"",BBK01.WXI041,BBK01.WXI041_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:16,
2009-01,314,
2009-02,261,
2009-03,216,
2009-04,218,
2009-05,207,
2009-06,211,
2009-07,283,
2009-08,203,
2009-09,64,
2009-10,51,
2009-11,69,
2009-12,290,
2010-01,76,
2010-02,69,
2010-03,125,
2010-04,80,
2010-05,45,
2010-06,61,
2010-07,55,
2010-08,36,
2010-09,93,
2010-10,101,
2010-11,75,
2010-12,101,
2011-01,102,
2011-02,60,
2011-03,66,
2011-04,78,
2011-05,88,
2011-06,86,
2011-07,83,
2011-08,66,
2011-09,109,
2011-10,112,
2011-11,82,
2011-12,44,
2012-01,56,
2012-02,55,
2012-03,65,
2012-04,18,
2012-05,16,
2012-06,24,
2012-07,30,
2012-08,41,
2012-09,34,
2012-10,36,
2012-11,27,
2012-12,120,
2013-01,46,
2013-02,10,
2013-03,17,
2013-04,31,
2013-05,30,
2013-06,48,
2013-07,3,
2013-08,8,
2013-09,29,
2013-10,33,
2013-11,33,
2013-12,6,
2014-01,54,
2014-02,36,
2014-03,16,
2014-04,30,
2014-05,81,
2014-06,9,
2014-07,21,
2014-08,13,
2014-09,24,
2014-10,34,
2014-11,32,
