"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.NO.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.NO.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Norway / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:38,
2009-09,496,
2009-10,486,
2009-11,522,
2009-12,531,
2010-01,530,
2010-02,542,
2010-03,694,
2010-04,699,
2010-05,759,
2010-06,821,
2010-07,817,
2010-08,850,
2010-09,495,
2010-10,513,
2010-11,466,
2010-12,459,
2011-01,458,
2011-02,483,
2011-03,467,
2011-04,424,
2011-05,378,
2011-06,378,
2011-07,372,
2011-08,359,
2011-09,348,
2011-10,366,
2011-11,342,
2011-12,358,
2012-01,395,
2012-02,152,
2012-03,162,
2012-04,171,
2012-05,183,
2012-06,199,
2012-07,192,
2012-08,208,
2012-09,162,
2012-10,175,
2012-11,178,
2012-12,181,
2013-01,163,
2013-02,168,
2013-03,162,
2013-04,175,
2013-05,189,
2013-06,177,
2013-07,179,
2013-08,191,
2013-09,187,
2013-10,180,
2013-11,190,
2013-12,191,
2014-01,120,
2014-02,119,
2014-03,75,
2014-04,70,
2014-05,81,
2014-06,96,
2014-07,96,
2014-08,97,
2014-09,97,
2014-10,98,
2014-11,98,
