"",BBDE1.M.DE.W.AEM1.A2P310000.F.V.I10.A,BBDE1.M.DE.W.AEM1.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Intermediate goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:52,
2010-01,91.5,
2010-02,91.4,
2010-03,103.6,
2010-04,98.9,
2010-05,99.8,
2010-06,102.7,
2010-07,104.4,
2010-08,95.4,
2010-09,102.9,
2010-10,104.5,
2010-11,106.1,
2010-12,93.4,
2011-01,115.1,
2011-02,110.5,
2011-03,121.4,
2011-04,111.6,
2011-05,109.6,
2011-06,112.1,
2011-07,113.3,
2011-08,103.6,
2011-09,106.6,
2011-10,106.3,
2011-11,105.0,
2011-12,92.3,
2012-01,110.7,
2012-02,105.3,
2012-03,114.7,
2012-04,106.8,
2012-05,107.7,
2012-06,106.5,
2012-07,105.8,
2012-08,97.4,
2012-09,101.0,
2012-10,103.8,
2012-11,103.5,
2012-12,89.8,
2013-01,105.8,
2013-02,102.4,
2013-03,113.7,
2013-04,103.6,
2013-05,103.4,
2013-06,104.1,
2013-07,104.9,
2013-08,95.8,
2013-09,102.6,
2013-10,106.4,
2013-11,105.0,
2013-12,90.1,
2014-01,108.6,
2014-02,106.1,
2014-03,111.9,
2014-04,105.4,
2014-05,102.4,
2014-06,106.0,
2014-07,106.6,
2014-08,96.0,
2014-09,101.7,
2014-10,104.6,
2014-11,104.6,
2014-12,92.5,Provisional value
