"",BBK01.OEAC56R,BBK01.OEAC56R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:44,
2002-01,3.165,
2002-04,3.132,
2002-07,3.176,
2002-10,3.222,
2003-01,3.076,
2003-04,3.067,
2003-07,3.313,
2003-10,3.321,
2004-01,3.240,
2004-04,3.181,
2004-07,3.207,
2004-10,3.189,
2005-01,3.214,
2005-04,3.163,
2005-07,3.217,
2005-10,3.252,
2006-01,3.286,
2006-04,3.339,
2006-07,3.402,
2006-10,3.487,
2007-01,3.522,
2007-04,3.544,
2007-07,3.467,
2007-10,3.333,
2008-01,3.525,
2008-04,3.533,
2008-07,3.561,
2008-10,3.585,
2009-01,3.614,
2009-04,3.664,
2009-07,3.675,
2009-10,3.571,
2010-01,3.752,
2010-04,3.779,
2010-07,3.811,
2010-10,3.859,
2011-01,3.867,
2011-04,3.886,
2011-07,3.898,
2011-10,3.890,
2012-01,3.882,
2012-04,4.054,
2012-07,4.080,
2012-10,4.206,
2013-01,4.227,
2013-04,4.293,
2013-07,4.327,
2013-10,4.384,
2014-01,4.407,
2014-04,4.443,
2014-07,4.467,
