"",BBK01.CEBK02,BBK01.CEBK02_FLAGS
"",Other equity debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:33,
1991-01,28.1,
1991-04,28.5,
1991-07,28.9,
1991-10,29.3,
1992-01,31.0,
1992-04,31.6,
1992-07,32.8,
1992-10,34.9,
1993-01,38.3,
1993-04,39.7,
1993-07,41.3,
1993-10,45.7,
1994-01,49.2,
1994-04,51.1,
1994-07,53.6,
1994-10,54.6,
1995-01,58.3,
1995-04,59.7,
1995-07,61.6,
1995-10,64.6,
1996-01,67.4,
1996-04,69.3,
1996-07,72.4,
1996-10,75.2,
1997-01,77.8,
1997-04,79.6,
1997-07,82.9,
1997-10,83.9,
1998-01,87.1,
1998-04,90.0,
1998-07,91.4,
1998-10,111.1,
1999-01,143.7,
1999-04,147.9,
1999-07,156.8,
1999-10,165.6,
2000-01,168.7,
2000-04,174.4,
2000-07,182.5,
2000-10,188.3,
2001-01,193.7,
2001-04,199.0,
2001-07,200.4,
2001-10,224.9,
2002-01,235.7,
2002-04,242.9,
2002-07,261.5,
2002-10,270.7,
2003-01,263.1,
2003-04,272.5,
2003-07,273.4,
2003-10,275.8,
2004-01,274.7,
2004-04,274.3,
2004-07,275.7,
2004-10,271.6,
2005-01,273.3,
2005-04,279.9,
2005-07,279.3,
2005-10,300.2,
2006-01,233.6,
2006-04,232.7,
2006-07,225.4,
2006-10,227.4,
2007-01,226.4,
2007-04,239.7,
2007-07,252.2,
2007-10,258.2,
2008-01,258.6,
2008-04,258.8,
2008-07,270.4,
2008-10,279.6,
2009-01,280.4,
2009-04,273.8,
2009-07,274.5,
2009-10,268.0,
2010-01,267.0,
2010-04,264.0,
2010-07,264.5,
2010-10,267.0,
2011-01,269.3,
2011-04,263.5,
2011-07,265.9,
2011-10,257.6,
2012-01,258.3,
2012-04,255.7,
2012-07,255.1,
2012-10,272.2,
2013-01,272.2,
2013-04,269.1,
2013-07,264.6,
2013-10,254.6,
2014-01,254.7,
