"",BBAI3.Q.DE.N.V.LE.F42B.S1252.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F42B.S1252.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Pension undertakings / Loans up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:10,
2005-10,337,
2006-01,356,
2006-04,362,
2006-07,403,
2006-10,417,
2007-01,423,
2007-04,419,
2007-07,443,
2007-10,512,
2008-01,528,
2008-04,539,
2008-07,519,
2008-10,490,
2009-01,509,
2009-04,524,
2009-07,530,
2009-10,530,
2010-01,536,
2010-04,549,
2010-07,553,
2010-10,463,
2011-01,447,
2011-04,440,
2011-07,426,
2011-10,418,
2012-01,438,
2012-04,427,
2012-07,434,
2012-10,480,
2013-01,494,
2013-04,481,
2013-07,533,
2013-10,546,
2014-01,501,
2014-04,507,
2014-07,507,
