"",BBEX3.M.USD.EUR.CA.AC.A01,BBEX3.M.USD.EUR.CA.AC.A01_FLAGS
"",Exchange rates (closing) for the euro in the United States / EUR 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:51,
1999-01,1.13665,
1999-02,1.10250,
1999-03,1.07800,
1999-04,1.05750,
1999-05,1.04295,
1999-06,1.03550,
1999-07,1.07075,
1999-08,1.05635,
1999-09,1.06895,
1999-10,1.05470,
1999-11,1.00915,
1999-12,1.00750,
2000-01,0.96990,
2000-02,0.96430,
2000-03,0.95575,
2000-04,0.91130,
2000-05,0.93075,
2000-06,0.95355,
2000-07,0.92635,
2000-08,0.88775,
2000-09,0.88235,
2000-10,0.84885,
2000-11,0.87275,
2000-12,0.94235,
2001-01,0.93665,
2001-02,0.92335,
2001-03,0.87935,
2001-04,0.88720,
2001-05,0.84660,
2001-06,0.84975,
2001-07,0.87560,
2001-08,0.91165,
2001-09,0.91000,
2001-10,0.89980,
2001-11,0.89620,
2001-12,0.88985,
2002-01,0.85840,
2002-02,0.86895,
2002-03,0.87155,
2002-04,0.89995,
2002-05,0.93320,
2002-06,0.99125,
2002-07,0.97790,
2002-08,0.98230,
2002-09,0.98750,
2002-10,0.99080,
2002-11,0.99525,
2002-12,1.04990,
2003-01,1.07685,
2003-02,1.07990,
2003-03,1.09275,
2003-04,1.11820,
2003-05,1.17740,
2003-06,1.15160,
2003-07,1.12410,
2003-08,1.09880,
2003-09,1.16600,
2003-10,1.15900,
2003-11,1.19950,
2003-12,1.25905,
2004-01,1.24715,
2004-02,1.24910,
2004-03,1.23120,
2004-04,1.19780,
2004-05,1.22230,
2004-06,1.22000,
2004-07,1.20220,
2004-08,1.21800,
2004-09,1.24355,
2004-10,1.27925,
2004-11,1.32925,
2004-12,1.36330,
2005-01,1.30395,
2005-02,1.32340,
2005-03,1.29635,
2005-04,1.28640,
2005-05,1.23010,
2005-06,1.21030,
2005-07,1.21275,
2005-08,1.23450,
2005-09,1.20440,
2005-10,1.19900,
2005-11,1.17875,
2005-12,1.18475,
2006-01,1.21550,
2006-02,1.19160,
2006-03,1.21150,
2006-04,1.26325,
2006-05,1.28145,
2006-06,1.27920,
2006-07,1.27745,
2006-08,1.28170,
2006-09,1.26750,
2006-10,1.27645,
2006-11,1.32415,
2006-12,1.31845,
2007-01,1.30345,
2007-02,1.32345,
2007-03,1.33565,
2007-04,1.36490,
2007-05,1.34555,
2007-06,1.35335,
2007-07,1.36810,
2007-08,1.36245,
2007-09,1.42610,
2007-10,1.44870,
2007-11,1.46340,
2007-12,1.45875,
2008-01,1.48645,
2008-02,1.51805,
2008-03,1.57915,
2008-04,1.56260,
2008-05,1.55570,
2008-06,1.57410,
2008-07,1.55950,
2008-08,1.46720,
2008-09,1.40730,
2008-10,1.27490,
2008-11,1.26990,
2008-12,1.39790,
2009-01,1.27970,
2009-02,1.26600,
2009-03,1.32670,
2009-04,1.32250,
2009-05,1.41450,
2009-06,1.40285,
2009-07,1.42580,
2009-08,1.43390,
2009-09,1.46385,
2009-10,1.47095,
2009-11,1.50095,
2009-12,1.43245,
2010-01,1.38635,
2010-02,1.36350,
2010-03,1.35105,
2010-04,1.33065,
2010-05,1.23025,
2010-06,1.22360,
2010-07,1.30390,
2010-08,1.26800,
2010-09,1.36415,
2010-10,1.39210,
2010-11,1.29855,
2010-12,1.33805,
2011-01,1.36920,
2011-02,1.38015,
2011-03,1.41620,
2011-04,1.48060,
2011-05,1.43920,
2011-06,1.45035,
2011-07,1.43990,
2011-08,1.43740,
2011-09,1.33910,
2011-10,1.38485,
2011-11,1.34415,
2011-12,1.29420,
2012-01,1.30780,
2012-02,1.33260,
2012-03,1.33410,
2012-04,1.32385,
2012-05,1.23585,
2012-06,1.26435,
2012-07,1.23025,
2012-08,1.25825,
2012-09,1.28470,
2012-10,1.29585,
2012-11,1.30025,
2012-12,1.31910,
2013-01,1.35785,
2013-02,1.31370,
2013-03,1.28185,
2013-04,1.31685,
2013-05,1.29945,
2013-06,1.30125,
2013-07,1.33010,
2013-08,1.32160,
2013-09,1.35245,
2013-10,1.35795,
2013-11,1.35830,
2013-12,1.37580,
2014-01,1.34885,
2014-02,1.38070,
2014-03,1.37760,
2014-04,1.38685,
2014-05,1.36340,
2014-06,1.36950,
2014-07,1.33875,
2014-08,1.31395,
2014-09,1.26305,
2014-10,1.25340,
2014-11,1.24460,
2014-12,1.21010,
2015-01,1.12905,
"",Source: Calculated on the basis of the buying and selling rates of Thomson Reuters (until March 2008 Reuters).,
