"",BBK01.OEAA42L,BBK01.OEAA42L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:32,
2002-01,10.849,
2002-04,4.950,
2002-07,5.000,
2002-10,7.489,
2003-01,7.831,
2003-04,6.444,
2003-07,6.592,
2003-10,7.805,
2004-01,12.511,
2004-04,9.424,
2004-07,8.480,
2004-10,7.810,
2005-01,10.271,
2005-04,10.147,
2005-07,8.089,
2005-10,9.771,
2006-01,9.641,
2006-04,7.916,
2006-07,8.105,
2006-10,7.931,
2007-01,6.040,
2007-04,6.931,
2007-07,6.142,
2007-10,7.067,
2008-01,6.077,
2008-04,7.669,
2008-07,8.226,
2008-10,10.829,
2009-01,14.189,
2009-04,12.693,
2009-07,14.088,
2009-10,10.716,
2010-01,14.621,
2010-04,13.967,
2010-07,14.697,
2010-10,20.743,
2011-01,23.955,
2011-04,17.900,
2011-07,18.654,
2011-10,18.564,
2012-01,18.594,
2012-04,19.618,
2012-07,16.949,
2012-10,19.145,
2013-01,16.410,
2013-04,15.505,
2013-07,15.878,
2013-10,19.745,
2014-01,20.315,
2014-04,19.455,
2014-07,18.076,
