"",BBFB1.Q.N.DE.E1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:09,
1991-01,7409.429,
1991-04,8157.313,
1991-07,8752.879,
1991-10,8419.011,
1992-01,7806.069,
1992-04,8341.352,
1992-07,8587.278,
1992-10,9040.537,
1993-01,7925.597,
1993-04,8368.096,
1993-07,8907.476,
1993-10,8959.860,
1994-01,8371.629,
1994-04,8285.518,
1994-07,8906.730,
1994-10,8615.767,
1995-01,9233.778,
1995-04,8972.048,
1995-07,9790.994,
1995-10,10132.660,
1996-01,9276.822,
1996-04,9640.933,
1996-07,10257.766,
1996-10,10497.197,
1997-01,10169.357,
1997-04,10855.936,
1997-07,11827.561,
1997-10,12243.352,
1998-01,11646.358,
1998-04,12102.633,
1998-07,13075.828,
1998-10,12956.623,
1999-01,11172.342,
1999-04,12836.854,
1999-07,13645.562,
1999-10,13968.969,
2000-01,13531.323,
2000-04,14433.728,
2000-07,14544.001,
2000-10,15826.374,
2001-01,14066.493,
2001-04,15423.600,
2001-07,15865.553,
2001-10,17440.058,
2002-01,15543.167,
2002-04,17038.275,
2002-07,17996.834,
2002-10,19263.573,
2003-01,15526.665,
2003-04,16945.209,
2003-07,17659.370,
2003-10,19704.648,
2004-01,18141.110,
2004-04,19964.140,
2004-07,20597.770,
2004-10,22516.006,
2005-01,18722.790,
2005-04,20525.569,
2005-07,21634.392,
2005-10,23731.609,
2006-01,21616.202,
2006-04,24123.245,
2006-07,24657.803,
2006-10,26949.470,
2007-01,22846.082,
2007-04,24792.333,
2007-07,26004.281,
2007-10,27485.327,
2008-01,24861.434,
2008-04,26485.067,
2008-07,27685.437,
2008-10,29691.063,
2009-01,24221.220,
2009-04,24983.147,
2009-07,26477.759,
2009-10,28593.031,
2010-01,24636.483,
2010-04,26749.120,
2010-07,28327.596,
2010-10,29732.340,
2011-01,26293.975,
2011-04,27340.605,
2011-07,29394.214,
2011-10,32053.268,
2012-01,27936.290,
2012-04,28959.015,
2012-07,30484.187,
2012-10,32131.401,
2013-01,28104.234,
2013-04,29797.938,
2013-07,31743.677,
2013-10,34416.838,
2014-01,30111.316,Provisional value
2014-04,31740.498,Provisional value
2014-07,33414.671,Provisional value
