"",BBK01.OEBI05L,BBK01.OEBI05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:40,
2002-01,64.952,
2002-04,63.337,
2002-07,48.886,
2002-10,50.162,
2003-01,50.535,
2003-04,49.694,
2003-07,49.136,
2003-10,54.663,
2004-01,49.042,
2004-04,48.920,
2004-07,54.801,
2004-10,54.443,
2005-01,56.589,
2005-04,57.709,
2005-07,58.106,
2005-10,52.380,
2006-01,54.765,
2006-04,58.486,
2006-07,59.445,
2006-10,60.249,
2007-01,58.484,
2007-04,60.672,
2007-07,64.161,
2007-10,64.579,
2008-01,65.262,
2008-04,65.747,
2008-07,66.051,
2008-10,75.190,
2009-01,75.327,
2009-04,69.905,
2009-07,69.596,
2009-10,70.750,
2010-01,68.320,
2010-04,69.515,
2010-07,75.829,
2010-10,97.645,
2011-01,95.386,
2011-04,94.765,
2011-07,94.556,
2011-10,94.131,
2012-01,92.612,
2012-04,91.245,
2012-07,89.718,
2012-10,88.228,
2013-01,91.170,
2013-04,91.096,
2013-07,91.880,
2013-10,91.101,
2014-01,91.226,
2014-04,90.323,
2014-07,90.064,
