"",BBSF2.M.1.S.00000.GEF01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:28,
2004-01,3,
2004-02,3,
2004-03,3,
2004-04,5,
2004-05,5,
2004-06,7,
2004-07,7,
2004-08,7,
2004-09,7,
2004-10,7,
2004-11,8,
2004-12,15,
2005-01,28,
2005-02,61,
2005-03,100,
2005-04,110,
2005-05,123,
2005-06,132,
2005-07,156,
2005-08,173,
2005-09,209,
2005-10,245,
2005-11,322,
2005-12,378,
2006-01,481,
2006-02,480,
2006-03,484,
2006-04,483,
2006-05,489,
2006-06,502,
2006-07,504,
2006-08,516,
2006-09,518,
2006-10,518,
2006-11,522,
2006-12,523,
2007-01,520,
2007-02,522,
2007-03,516,
2007-04,462,
2007-05,461,
2007-06,464,
2007-07,460,
2007-08,448,
2007-09,448,
2007-10,482,
2007-11,486,
2007-12,451,
2008-01,448,
2008-02,446,
2008-03,443,
2008-04,448,
2008-05,463,
2008-06,461,
2008-07,488,
2008-08,492,
2008-09,496,
2008-10,504,
2008-11,536,
2008-12,539,
2009-01,545,
2009-02,551,
2009-03,553,
2009-04,638,
2009-05,761,
2009-06,767,
2009-07,784,
2009-08,790,
2009-09,796,
2009-10,810,
2009-11,793,
2009-12,790,
2010-01,805,
2010-02,816,
2010-03,843,
2010-04,885,
2010-05,906,
2010-06,910,
2010-07,907,
2010-08,922,
2010-09,924,
2010-10,934,
2010-11,928,
2010-12,841,
2011-01,841,
2011-02,842,
2011-03,836,
2011-04,840,
2011-05,839,
2011-06,838,
2011-07,843,
2011-08,844,
2011-09,848,
2011-10,816,
2011-11,811,
2011-12,801,
2012-01,800,
2012-02,802,
2012-03,797,
2012-04,797,
2012-05,794,
2012-06,795,
2012-07,797,
2012-08,795,
2012-09,794,
2012-10,791,
2012-11,778,
2012-12,776,
2013-01,768,
2013-02,754,
2013-03,753,
2013-04,755,
2013-05,750,
2013-06,753,
2013-07,789,
2013-08,782,
2013-09,781,
2013-10,768,
2013-11,755,
2013-12,752,
2014-01,745,
2014-02,744,
2014-03,738,
2014-04,734,
2014-05,733,
2014-06,735,
2014-07,718,
2014-08,601,
2014-09,606,
2014-10,608,
2014-11,608,
