"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.FR.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.FR.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:41,
2009-09,9443,
2009-10,9226,
2009-11,9427,
2009-12,10421,
2010-01,9752,
2010-02,9560,
2010-03,10231,
2010-04,9802,
2010-05,9245,
2010-06,8894,
2010-07,9426,
2010-08,8983,
2010-09,9562,
2010-10,10048,
2010-11,9397,
2010-12,10117,
2011-01,10501,
2011-02,10518,
2011-03,10037,
2011-04,10114,
2011-05,9749,
2011-06,9792,
2011-07,9117,
2011-08,7922,
2011-09,7155,
2011-10,7827,
2011-11,7448,
2011-12,7687,
2012-01,7965,
2012-02,8074,
2012-03,7682,
2012-04,7255,
2012-05,6902,
2012-06,7206,
2012-07,7821,
2012-08,7936,
2012-09,8008,
2012-10,8236,
2012-11,8448,
2012-12,8697,
2013-01,8936,
2013-02,8766,
2013-03,8807,
2013-04,9110,
2013-05,9211,
2013-06,8708,
2013-07,9540,
2013-08,9470,
2013-09,10061,
2013-10,10540,
2013-11,10711,
2013-12,10574,
2014-01,10196,
2014-02,10896,
2014-03,10652,
2014-04,10965,
2014-05,10993,
2014-06,11170,
2014-07,10867,
2014-08,10897,
2014-09,10834,
2014-10,10529,
2014-11,10924,
