"",BBK01.CEBD0C,BBK01.CEBD0C_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:07,
1991-01,19.4,
1991-04,20.2,
1991-07,14.6,
1991-10,21.9,
1992-01,14.3,
1992-04,17.3,
1992-07,19.9,
1992-10,15.1,
1993-01,10.3,
1993-04,20.2,
1993-07,19.7,
1993-10,21.7,
1994-01,13.6,
1994-04,13.9,
1994-07,13.1,
1994-10,17.4,
1995-01,10.0,
1995-04,11.0,
1995-07,12.4,
1995-10,16.4,
1996-01,11.5,
1996-04,12.5,
1996-07,12.4,
1996-10,19.2,
1997-01,12.1,
1997-04,13.5,
1997-07,11.8,
1997-10,16.7,
1998-01,12.7,
1998-04,13.0,
1998-07,12.6,
1998-10,19.3,
1999-01,12.9,
1999-04,14.7,
1999-07,13.4,
1999-10,15.1,
2000-01,12.4,
2000-04,16.0,
2000-07,13.1,
2000-10,17.0,
2001-01,14.7,
2001-04,18.1,
2001-07,16.8,
2001-10,16.5,
2002-01,14.2,
2002-04,14.9,
2002-07,13.9,
2002-10,17.0,
2003-01,15.4,
2003-04,18.6,
2003-07,15.8,
2003-10,18.2,
2004-01,18.3,
2004-04,20.5,
2004-07,19.9,
2004-10,17.2,
2005-01,18.6,
2005-04,21.0,
2005-07,19.5,
2005-10,21.4,
2006-01,21.0,
2006-04,25.1,
2006-07,22.9,
2006-10,27.0,
2007-01,23.1,
2007-04,25.7,
2007-07,26.9,
2007-10,28.2,
2008-01,24.8,
2008-04,28.8,
2008-07,27.4,
2008-10,34.7,
2009-01,52.9,
2009-04,81.2,
2009-07,80.2,
2009-10,64.7,
2010-01,53.4,
2010-04,60.2,
2010-07,57.0,
2010-10,59.3,
2011-01,63.4,
2011-04,65.3,
2011-07,65.8,
2011-10,60.0,
2012-01,65.7,
2012-04,65.8,
2012-07,60.9,
2012-10,66.2,
2013-01,53.0,
2013-04,57.1,
2013-07,53.4,
2013-10,51.7,
2014-01,50.1,
