"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:52,
1991-01,434.554,
1991-04,855.471,
1991-07,112.732,
1991-10,154.638,
1992-01,747.949,
1992-04,590.025,
1992-07,-748.061,
1992-10,-315.218,
1993-01,1085.544,
1993-04,927.531,
1993-07,401.196,
1993-10,-133.977,
1994-01,709.458,
1994-04,121.512,
1994-07,-13.634,
1994-10,381.208,
1995-01,322.144,
1995-04,673.838,
1995-07,-247.370,
1995-10,265.823,
1996-01,236.187,
1996-04,59.655,
1996-07,290.166,
1996-10,1137.116,
1997-01,-131.018,
1997-04,1399.606,
1997-07,670.949,
1997-10,-856.019,
1998-01,251.210,
1998-04,2189.935,
1998-07,961.476,
1998-10,3915.100,
1999-01,4159.238,
1999-04,1361.303,
1999-07,3110.667,
1999-10,3807.815,
2000-01,2697.523,
2000-04,1654.575,
2000-07,6012.375,
2000-10,2137.139,
2001-01,-117.560,
2001-04,1985.466,
2001-07,858.113,
2001-10,1118.651,
2002-01,1070.868,
2002-04,1454.262,
2002-07,1998.444,
2002-10,667.835,
2003-01,2239.174,
2003-04,3909.820,
2003-07,2081.202,
2003-10,5488.779,
2004-01,5752.586,
2004-04,4654.555,
2004-07,5824.573,
2004-10,7474.906,
2005-01,8426.210,
2005-04,12985.654,
2005-07,2795.160,
2005-10,6331.471,
2006-01,14563.510,
2006-04,11011.046,
2006-07,8936.584,
2006-10,10250.063,
2007-01,10385.808,
2007-04,4829.095,
2007-07,-6231.598,
2007-10,-5340.637,
2008-01,-2137.980,
2008-04,2045.476,
2008-07,-1852.123,
2008-10,-13396.482,
2009-01,-6167.640,
2009-04,-1398.140,
2009-07,1457.064,
2009-10,1568.239,
2010-01,-1246.443,
2010-04,-13183.806,
2010-07,76.903,
2010-10,3563.636,
2011-01,-897.550,
2011-04,-3535.796,
2011-07,-3645.764,
2011-10,-465.163,
2012-01,-4815.904,
2012-04,-12351.728,
2012-07,-4393.943,
2012-10,1663.682,
2013-01,1173.343,
2013-04,-1162.777,
2013-07,-2854.427,
2013-10,-383.771,
2014-01,607.445,Provisional value
2014-04,-1254.493,Provisional value
2014-07,9.875,Provisional value
2014-10,3791.621,Provisional value
