"",BBK01.OEYB06H,BBK01.OEYB06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:31,
2002-01,14.830,
2002-04,14.182,
2002-07,16.142,
2002-10,14.762,
2003-01,13.989,
2003-04,13.018,
2003-07,12.767,
2003-10,14.024,
2004-01,17.036,
2004-04,12.987,
2004-07,14.747,
2004-10,13.794,
2005-01,11.564,
2005-04,13.772,
2005-07,13.358,
2005-10,10.164,
2006-01,13.056,
2006-04,11.753,
2006-07,13.449,
2006-10,9.613,
2007-01,13.213,
2007-04,11.824,
2007-07,14.056,
2007-10,12.044,
2008-01,16.640,
2008-04,17.631,
2008-07,18.010,
2008-10,12.915,
2009-01,17.523,
2009-04,14.298,
2009-07,12.299,
2009-10,6.639,
2010-01,8.853,
2010-04,9.462,
2010-07,10.043,
2010-10,72.564,
2011-01,47.820,
2011-04,31.931,
2011-07,21.226,
2011-10,13.202,
2012-01,12.341,
2012-04,12.522,
2012-07,13.044,
2012-10,14.105,
2013-01,11.657,
2013-04,9.304,
2013-07,9.808,
2013-10,9.933,
2014-01,9.067,
2014-04,8.750,
2014-07,9.137,
