"",BBFB1.Q.N.DE.FR.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:21,
1991-01,-416.567,
1991-04,-969.061,
1991-07,-1150.833,
1991-10,-427.640,
1992-01,-520.734,
1992-04,-1108.228,
1992-07,-1249.831,
1992-10,-590.259,
1993-01,-574.939,
1993-04,-1254.183,
1993-07,-1401.393,
1993-10,-396.898,
1994-01,-492.250,
1994-04,-1160.834,
1994-07,-1215.748,
1994-10,-497.272,
1995-01,-565.736,
1995-04,-1134.880,
1995-07,-1229.641,
1995-10,-389.271,
1996-01,-624.901,
1996-04,-1153.573,
1996-07,-1245.701,
1996-10,-521.121,
1997-01,-510.778,
1997-04,-1200.315,
1997-07,-1370.269,
1997-10,-500.727,
1998-01,-580.219,
1998-04,-1134.800,
1998-07,-1350.152,
1998-10,-587.350,
1999-01,-539.212,
1999-04,-1222.638,
1999-07,-1329.013,
1999-10,-612.650,
2000-01,-518.932,
2000-04,-1186.695,
2000-07,-1512.581,
2000-10,-646.754,
2001-01,-1118.735,
2001-04,-1414.933,
2001-07,-1568.602,
2001-10,-461.534,
2002-01,-292.892,
2002-04,-846.503,
2002-07,-1106.004,
2002-10,-335.846,
2003-01,-637.501,
2003-04,-905.128,
2003-07,-1526.441,
2003-10,-623.238,
2004-01,-603.958,
2004-04,-1047.786,
2004-07,-1359.926,
2004-10,-622.728,
2005-01,-489.208,
2005-04,-519.209,
2005-07,-1193.910,
2005-10,-314.613,
2006-01,14.632,
2006-04,-146.060,
2006-07,-835.080,
2006-10,202.866,
2007-01,-443.511,
2007-04,-265.518,
2007-07,-1173.860,
2007-10,-292.929,
2008-01,-223.310,
2008-04,-297.016,
2008-07,-924.223,
2008-10,-184.031,
2009-01,-302.338,
2009-04,-233.980,
2009-07,-684.578,
2009-10,98.227,
2010-01,-387.651,
2010-04,-403.535,
2010-07,-897.925,
2010-10,-333.600,
2011-01,-358.217,
2011-04,-547.321,
2011-07,-774.587,
2011-10,48.367,
2012-01,-279.620,
2012-04,-544.287,
2012-07,-940.445,
2012-10,-410.356,
2013-01,-804.847,
2013-04,-931.969,
2013-07,-1531.617,
2013-10,-1390.605,
2014-01,-656.099,Provisional value
2014-04,-1135.440,Provisional value
2014-07,-1475.656,Provisional value
