"",BBK01.OEAJ03H,BBK01.OEAJ03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:11,
2002-01,86.318,
2002-04,85.910,
2002-07,86.041,
2002-10,86.445,
2003-01,87.476,
2003-04,87.499,
2003-07,86.438,
2003-10,92.593,
2004-01,93.239,
2004-04,93.578,
2004-07,92.516,
2004-10,93.511,
2005-01,95.106,
2005-04,93.461,
2005-07,93.270,
2005-10,91.102,
2006-01,91.933,
2006-04,91.595,
2006-07,93.554,
2006-10,91.851,
2007-01,97.455,
2007-04,98.059,
2007-07,100.717,
2007-10,102.070,
2008-01,113.267,
2008-04,116.166,
2008-07,119.567,
2008-10,124.968,
2009-01,127.165,
2009-04,140.295,
2009-07,135.919,
2009-10,133.104,
2010-01,132.478,
2010-04,130.623,
2010-07,128.488,
2010-10,125.560,
2011-01,121.352,
2011-04,121.809,
2011-07,130.805,
2011-10,132.891,
2012-01,123.769,
2012-04,118.947,
2012-07,125.173,
2012-10,118.842,
2013-01,119.454,
2013-04,123.187,
2013-07,99.810,
2013-10,99.971,
2014-01,99.699,
2014-04,97.227,
2014-07,96.653,
