"",BBFB1.Q.N.DE.R5.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:44,
1991-01,-623.375,
1991-04,-2017.190,
1991-07,408.567,
1991-10,-17.541,
1992-01,-251.856,
1992-04,-558.398,
1992-07,-477.578,
1992-10,-251.644,
1993-01,-459.530,
1993-04,79.803,
1993-07,-394.197,
1993-10,-129.890,
1994-01,123.508,
1994-04,-307.289,
1994-07,-85.163,
1994-10,-300.298,
1995-01,621.659,
1995-04,-561.116,
1995-07,-472.856,
1995-10,-804.433,
1996-01,1104.581,
1996-04,-1232.711,
1996-07,-355.663,
1996-10,1082.592,
1997-01,85.599,
1997-04,524.307,
1997-07,39.922,
1997-10,943.114,
1998-01,-109.554,
1998-04,-62.911,
1998-07,1562.369,
1998-10,228.039,
1999-01,-2345.987,
1999-04,1064.366,
1999-07,-54.124,
1999-10,3591.340,
2000-01,61.423,
2000-04,2278.617,
2000-07,1657.795,
2000-10,1826.238,
2001-01,10.702,
2001-04,1825.861,
2001-07,-2026.346,
2001-10,-746.698,
2002-01,-518.872,
2002-04,356.867,
2002-07,-780.526,
2002-10,2047.389,
2003-01,2248.826,
2003-04,3720.765,
2003-07,-3568.749,
2003-10,149.452,
2004-01,3208.331,
2004-04,-3040.615,
2004-07,1312.796,
2004-10,2865.717,
2005-01,4703.823,
2005-04,534.575,
2005-07,7676.928,
2005-10,1476.520,
2006-01,2959.138,
2006-04,1753.730,
2006-07,-344.171,
2006-10,4781.774,
2007-01,4034.368,
2007-04,-319.136,
2007-07,6621.944,
2007-10,1285.679,
2008-01,5152.641,
2008-04,7213.185,
2008-07,2722.477,
2008-10,-7795.765,
2009-01,5897.061,
2009-04,808.986,
2009-07,3796.445,
2009-10,6935.900,
2010-01,-2808.612,
2010-04,3198.131,
2010-07,3068.443,
2010-10,-1278.695,
2011-01,2552.288,
2011-04,-1421.570,
2011-07,4702.558,
2011-10,-2210.049,
2012-01,4600.999,
2012-04,-3456.651,
2012-07,2533.979,
2012-10,-3744.034,
2013-01,3751.953,
2013-04,-914.367,
2013-07,-427.241,
2013-10,3774.510,
2014-01,-1113.780,Provisional value
2014-04,336.152,Provisional value
2014-07,1430.703,Provisional value
2014-10,-9221.978,Provisional value
