"",BBSF2.M.1.S.I1252.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:48,
2009-09,100457,
2009-10,98955,
2009-11,100793,
2009-12,101782,
2010-01,105172,
2010-02,106831,
2010-03,108721,
2010-04,110266,
2010-05,111806,
2010-06,112634,
2010-07,113787,
2010-08,118604,
2010-09,119830,
2010-10,121497,
2010-11,112594,
2010-12,111850,
2011-01,112236,
2011-02,113511,
2011-03,112932,
2011-04,114953,
2011-05,116347,
2011-06,116087,
2011-07,117486,
2011-08,119139,
2011-09,117160,
2011-10,118182,
2011-11,115703,
2011-12,120642,
2012-01,124223,
2012-02,128498,
2012-03,130800,
2012-04,131586,
2012-05,135140,
2012-06,135135,
2012-07,139793,
2012-08,143291,
2012-09,144255,
2012-10,147169,
2012-11,150497,
2012-12,153312,
2013-01,152497,
2013-02,154664,
2013-03,158145,
2013-04,161973,
2013-05,160080,
2013-06,156573,
2013-07,158747,
2013-08,157255,
2013-09,159577,
2013-10,161605,
2013-11,164225,
2013-12,162247,
2014-01,165976,
2014-02,168741,
2014-03,170101,
2014-04,172477,
2014-05,177355,
2014-06,178014,
2014-07,183138,
2014-08,188991,
2014-09,189052,
2014-10,191630,
2014-11,196148,
