"",BBDA1.M.DE.N.IM.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09IS09.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:57,
2008-01,7819486,
2008-02,8373299,
2008-03,7921949,
2008-04,8557593,
2008-05,7652357,
2008-06,8596931,
2008-07,8887165,
2008-08,8002693,
2008-09,8828090,
2008-10,8658960,
2008-11,7470133,
2008-12,6648744,
2009-01,7283037,
2009-02,7190002,
2009-03,7296570,
2009-04,7147128,
2009-05,6673356,
2009-06,7007133,
2009-07,7660438,
2009-08,6837026,
2009-09,7538825,
2009-10,7924902,
2009-11,7330106,
2009-12,6951892,
2010-01,7870379,
2010-02,7800151,
2010-03,9134067,
2010-04,8464429,
2010-05,8397712,
2010-06,8697709,
2010-07,8645375,
2010-08,8413976,
2010-09,8215111,
2010-10,8928427,
2010-11,8864117,
2010-12,8161526,
2011-01,8553293,
2011-02,8877703,
2011-03,10116362,
2011-04,8911876,
2011-05,9910956,
2011-06,9444666,
2011-07,9382874,
2011-08,9730431,
2011-09,9353518,
2011-10,9302282,
2011-11,8999188,
2011-12,8675892,
2012-01,8582759,
2012-02,8862315,
2012-03,10302284,
2012-04,8929347,
2012-05,9658456,
2012-06,9750559,
2012-07,9549378,
2012-08,9124996,
2012-09,9504512,
2012-10,9634639,
2012-11,9677540,
2012-12,7793999,
2013-01,9131648,
2013-02,8894344,
2013-03,9353845,
2013-04,9804149,
2013-05,9286974,
2013-06,9156147,
2013-07,9984863,
2013-08,8836522,
2013-09,9261620,
2013-10,9523845,
2013-11,9123202,
2013-12,7850563,
2014-01,9819555,
2014-02,10110969,
2014-03,10442378,
2014-04,10150282,
2014-05,9935240,
2014-06,9714940,
2014-07,10004727,
2014-08,10009967,
2014-09,10458305,
2014-10,10896235,
2014-11,10045008,
2014-12,8890370,
