"",BBK01.OEHJ02Q,BBK01.OEHJ02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:22,
2002-01,0.787,
2002-04,0.777,
2002-07,0.815,
2002-10,0.905,
2003-01,0.862,
2003-04,0.855,
2003-07,0.905,
2003-10,0.995,
2004-01,0.980,
2004-04,1.021,
2004-07,1.132,
2004-10,1.131,
2005-01,1.148,
2005-04,1.143,
2005-07,1.244,
2005-10,1.323,
2006-01,1.194,
2006-04,1.218,
2006-07,1.377,
2006-10,1.369,
2007-01,1.249,
2007-04,1.295,
2007-07,1.332,
2007-10,1.303,
2008-01,1.214,
2008-04,1.263,
2008-07,1.330,
2008-10,1.379,
2009-01,1.609,
2009-04,1.703,
2009-07,1.992,
2009-10,2.120,
2010-01,2.088,
2010-04,2.125,
2010-07,2.143,
2010-10,2.150,
2011-01,2.131,
2011-04,2.132,
2011-07,2.317,
2011-10,2.355,
2012-01,2.315,
2012-04,2.445,
2012-07,2.507,
2012-10,2.544,
2013-01,2.615,
2013-04,2.767,
2013-07,2.838,
2013-10,2.858,
2014-01,2.923,
2014-04,3.071,
2014-07,3.222,
