"",BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS02.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Intermediate products / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:26,
2008-01,27.07,
2008-02,26.25,
2008-03,26.54,
2008-04,26.32,
2008-05,26.54,
2008-06,25.89,
2008-07,25.91,
2008-08,26.38,
2008-09,26.01,
2008-10,25.87,
2008-11,23.14,
2008-12,21.51,
2009-01,20.61,
2009-02,20.39,
2009-03,19.66,
2009-04,19.97,
2009-05,19.63,
2009-06,20.28,
2009-07,21.21,
2009-08,20.75,
2009-09,21.45,
2009-10,21.60,
2009-11,22.04,
2009-12,22.92,
2010-01,22.58,
2010-02,23.09,
2010-03,23.99,
2010-04,24.32,
2010-05,25.43,
2010-06,25.69,
2010-07,26.14,
2010-08,25.92,
2010-09,26.37,
2010-10,26.98,
2010-11,27.58,
2010-12,27.43,
2011-01,27.87,
2011-02,28.37,
2011-03,28.70,
2011-04,28.69,
2011-05,27.77,
2011-06,28.69,
2011-07,28.68,
2011-08,28.83,
2011-09,29.20,
2011-10,28.14,
2011-11,28.20,
2011-12,27.81,
2012-01,28.01,
2012-02,28.55,
2012-03,28.57,
2012-04,28.29,
2012-05,29.11,
2012-06,28.60,
2012-07,28.52,
2012-08,28.75,
2012-09,28.59,
2012-10,28.86,
2012-11,28.08,
2012-12,29.13,
2013-01,28.85,
2013-02,28.25,
2013-03,28.59,
2013-04,28.19,
2013-05,28.83,
2013-06,27.79,
2013-07,27.62,
2013-08,27.70,
2013-09,27.92,
2013-10,28.64,
2013-11,28.48,
2013-12,28.51,
2014-01,29.60,
2014-02,29.13,
2014-03,28.56,
2014-04,29.43,
2014-05,28.42,
2014-06,29.22,
2014-07,29.53,
2014-08,29.07,
2014-09,29.93,
2014-10,29.95,
2014-11,29.60,
2014-12,30.70,
