"",BBK01.OEBB18S,BBK01.OEBB18S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:46,
2002-01,0.090,
2002-04,0.088,
2002-07,0.092,
2002-10,0.092,
2003-01,0.086,
2003-04,0.085,
2003-07,0.087,
2003-10,0.084,
2004-01,0.078,
2004-04,0.079,
2004-07,0.078,
2004-10,0.073,
2005-01,0.096,
2005-04,0.103,
2005-07,0.108,
2005-10,0.101,
2006-01,0.102,
2006-04,0.105,
2006-07,0.118,
2006-10,0.105,
2007-01,0.117,
2007-04,0.123,
2007-07,0.093,
2007-10,0.090,
2008-01,0.090,
2008-04,0.094,
2008-07,0.098,
2008-10,0.097,
2009-01,0.094,
2009-04,0.092,
2009-07,0.098,
2009-10,0.090,
2010-01,0.090,
2010-04,0.089,
2010-07,0.092,
2010-10,0.086,
2011-01,0.088,
2011-04,0.088,
2011-07,0.089,
2011-10,0.085,
2012-01,0.084,
2012-04,0.080,
2012-07,0.080,
2012-10,0.083,
2013-01,0.081,
2013-04,0.078,
2013-07,0.084,
2013-10,0.081,
2014-01,0.080,
2014-04,0.084,
2014-07,0.083,
