"",BBK01.CEL50I,BBK01.CEL50I_FLAGS
"",Equity and investment fund shares                                                     debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:25,
1999-01,16.3,
1999-04,26.6,
1999-07,17.7,
1999-10,10.7,
2000-01,23.8,
2000-04,30.6,
2000-07,10.1,
2000-10,14.7,
2001-01,17.5,
2001-04,6.5,
2001-07,-5.2,
2001-10,8.7,
2002-01,1.8,
2002-04,-10.7,
2002-07,-0.1,
2002-10,-20.8,
2003-01,6.6,
2003-04,5.9,
2003-07,2.5,
2003-10,-4.4,
2004-01,3.0,
2004-04,1.1,
2004-07,-1.5,
2004-10,-10.9,
2005-01,7.0,
2005-04,5.6,
2005-07,7.4,
2005-10,-3.3,
2006-01,22.0,
2006-04,-8.4,
2006-07,-1.1,
2006-10,-11.3,
2007-01,-9.5,
2007-04,-1.1,
2007-07,-9.1,
2007-10,8.1,
2008-01,-8.9,
2008-04,-0.8,
2008-07,-6.5,
2008-10,-24.5,
2009-01,8.7,
2009-04,4.6,
2009-07,1.0,
2009-10,3.8,
2010-01,6.7,
2010-04,12.5,
2010-07,-0.3,
2010-10,7.5,
2011-01,0.5,
2011-04,1.2,
2011-07,0.0,
2011-10,3.0,
2012-01,-1.8,
2012-04,-0.8,
2012-07,-0.8,
2012-10,3.3,
2013-01,7.5,
2013-04,7.7,
2013-07,-1.6,
2013-10,-2.7,
2014-01,9.0,
2014-04,10.4,
2014-07,8.8,
