"",BBK01.OEAC36Q,BBK01.OEAC36Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:33,
2002-01,0.183,
2002-04,0.178,
2002-07,0.177,
2002-10,0.177,
2003-01,0.178,
2003-04,0.181,
2003-07,0.185,
2003-10,0.174,
2004-01,0.169,
2004-04,0.168,
2004-07,0.163,
2004-10,0.146,
2005-01,0.137,
2005-04,0.138,
2005-07,0.134,
2005-10,0.130,
2006-01,0.125,
2006-04,0.126,
2006-07,0.120,
2006-10,0.115,
2007-01,0.114,
2007-04,0.119,
2007-07,0.123,
2007-10,0.113,
2008-01,0.115,
2008-04,0.118,
2008-07,0.116,
2008-10,0.115,
2009-01,0.118,
2009-04,0.124,
2009-07,0.172,
2009-10,0.188,
2010-01,0.184,
2010-04,0.182,
2010-07,0.185,
2010-10,0.167,
2011-01,0.167,
2011-04,0.161,
2011-07,0.165,
2011-10,0.152,
2012-01,0.158,
2012-04,0.150,
2012-07,0.155,
2012-10,0.145,
2013-01,0.154,
2013-04,0.147,
2013-07,0.154,
2013-10,0.153,
2014-01,0.153,
2014-04,0.159,
2014-07,0.155,
