"",BBK01.OEAB13K,BBK01.OEAB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:02,
2002-01,21.837,
2002-04,21.508,
2002-07,21.954,
2002-10,22.153,
2003-01,21.260,
2003-04,19.474,
2003-07,19.123,
2003-10,19.222,
2004-01,17.640,
2004-04,19.530,
2004-07,19.330,
2004-10,19.260,
2005-01,18.750,
2005-04,18.393,
2005-07,18.334,
2005-10,17.948,
2006-01,17.706,
2006-04,17.272,
2006-07,17.109,
2006-10,16.956,
2007-01,16.182,
2007-04,16.050,
2007-07,16.183,
2007-10,15.941,
2008-01,15.999,
2008-04,15.949,
2008-07,15.827,
2008-10,15.751,
2009-01,15.642,
2009-04,16.722,
2009-07,16.843,
2009-10,16.918,
2010-01,16.864,
2010-04,17.249,
2010-07,17.247,
2010-10,17.619,
2011-01,17.740,
2011-04,17.674,
2011-07,17.735,
2011-10,17.652,
2012-01,17.649,
2012-04,18.652,
2012-07,18.643,
2012-10,18.755,
2013-01,18.868,
2013-04,18.772,
2013-07,18.625,
2013-10,18.497,
2014-01,18.394,
2014-04,18.359,
2014-07,18.554,
