"",BBSF2.M.1.P.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:37,
1966-01,14,
1966-02,22,
1966-03,26,
1966-04,28,
1966-05,30,
1966-06,30,
1966-07,31,
1966-08,32,
1966-09,33,
1966-10,32,
1966-11,34,
1966-12,40,
1967-01,42,
1967-02,44,
1967-03,46,
1967-04,49,
1967-05,52,
1967-06,54,
1967-07,59,
1967-08,61,
1967-09,64,
1967-10,66,
1967-11,74,
1967-12,85,
1968-01,103,
1968-02,115,
1968-03,126,
1968-04,139,
1968-05,160,
1968-06,179,
1968-07,222,
1968-08,270,
1968-09,308,
1968-10,348,
1968-11,390,
1968-12,472,
1969-01,635,
1969-02,764,
1969-03,853,
1969-04,894,
1969-05,955,
1969-06,984,
1969-07,1080,
1969-08,1127,
1969-09,1149,
1969-10,1227,
1969-11,1221,
1969-12,1274,
1970-01,1324,
1970-02,1355,
1970-03,1350,
1970-04,1370,
1970-05,1340,
1970-06,1297,
1970-07,1339,
1970-08,1356,
1970-09,1371,
1970-10,1375,
1970-11,1350,
1970-12,1437,
1971-01,1506,
1971-02,1517,
1971-03,1532,
1971-04,1549,
1971-05,1544,
1971-06,1502,
1971-07,1532,
1971-08,1554,
1971-09,1582,
1971-10,1622,
1971-11,1606,
1971-12,1670,
1972-01,1757,
1972-02,1873,
1972-03,1931,
1972-04,1954,
1972-05,2001,
1972-06,2044,
1972-07,2161,
1972-08,2322,
1972-09,2419,
1972-10,2458,
1972-11,2439,
1972-12,2500,
1973-01,2553,
1973-02,2617,
1973-03,2675,
1973-04,2704,
1973-05,2638,
1973-06,2543,
1973-07,2550,
1973-08,2600,
1973-09,2631,
1973-10,2685,
1973-11,2642,
1973-12,2668,
1974-01,2663,
1974-02,2580,
1974-03,2457,
1974-04,2444,
1974-05,2430,
1974-06,2388,
1974-07,2357,
1974-08,2359,
1974-09,2356,
1974-10,2361,
1974-11,2331,
1974-12,2438,
1975-01,2528,
1975-02,2619,
1975-03,2636,
1975-04,2707,
1975-05,2770,
1975-06,2797,
1975-07,2747,
1975-08,2744,
1975-09,2743,
1975-10,2761,
1975-11,2725,
1975-12,2819,
1976-01,2937,
1976-02,3068,
1976-03,3254,
1976-04,3342,
1976-05,3360,
1976-06,3371,
1976-07,3412,
1976-08,3508,
1976-09,3662,
1976-10,3792,
1976-11,4075,
1976-12,4318,
1977-01,4668,
1977-02,4900,
1977-03,5272,
1977-04,5601,
1977-05,5799,
1977-06,5912,
1977-07,6203,
1977-08,6563,
1977-09,6805,
1977-10,7032,
1977-11,7190,
1977-12,7632,
1978-01,8265,
1978-02,8686,
1978-03,9110,
1978-04,9330,
1978-05,9325,
1978-06,9387,
1978-07,9231,
1978-08,9417,
1978-09,9676,
1978-10,9746,
1978-11,9637,
1978-12,9831,
1979-01,9953,
1979-02,9869,
1979-03,10002,
1979-04,10022,
1979-05,9928,
1979-06,9971,
1979-07,10137,
1979-08,10317,
1979-09,10394,
1979-10,10151,
1979-11,10199,
1979-12,10365,
1980-01,10332,
1980-02,9882,
1980-03,9520,
1980-04,9794,
1980-05,10056,
1980-06,10221,
1980-07,10357,
1980-08,10302,
1980-09,10150,
1980-10,9930,
1980-11,9749,
1980-12,9731,
1981-01,9797,
1981-02,9158,
1981-03,9218,
1981-04,9128,
1981-05,8930,
1981-06,8998,
1981-07,8868,
1981-08,8651,
1981-09,8677,
1981-10,8601,
1981-11,8890,
1981-12,8914,
1982-01,8937,
1982-02,8880,
1982-03,9131,
1982-04,9372,
1982-05,9431,
1982-06,9317,
1982-07,9475,
1982-08,9834,
1982-09,10100,
1982-10,10311,
1982-11,10366,
1982-12,10624,
1983-01,10779,
1983-02,10840,
1983-03,11197,
1983-04,11349,
1983-05,11312,
1983-06,11259,
1983-07,11261,
1983-08,11266,
1983-09,11369,
1983-10,11507,
1983-11,11371,
1983-12,11553,
1984-01,11811,
1984-02,11706,
1984-03,11844,
1984-04,12061,
1984-05,11974,
1984-06,12204,
1984-07,12522,
1984-08,12831,
1984-09,13315,
1984-10,13716,
1984-11,14247,
1984-12,14801,
1985-01,15387,
1985-02,15388,
1985-03,15577,
1985-04,16143,
1985-05,16852,
1985-06,17230,
1985-07,17379,
1985-08,17979,
1985-09,18009,
1985-10,18226,
1985-11,18428,
1985-12,19146,
1986-01,19601,
1986-02,20042,
1986-03,21368,
1986-04,22108,
1986-05,22570,
1986-06,22817,
1986-07,23009,
1986-08,23660,
1986-09,23680,
1986-10,24037,
1986-11,23970,
1986-12,24593,
1987-01,25047,
1987-02,25448,
1987-03,26264,
1987-04,26798,
1987-05,27483,
1987-06,28002,
1987-07,28548,
1987-08,28731,
1987-09,29090,
1987-10,28734,
1987-11,28676,
1987-12,29052,
1988-01,29987,
1988-02,30958,
1988-03,31859,
1988-04,32227,
1988-05,33094,
1988-06,34247,
1988-07,35130,
1988-08,35471,
1988-09,37062,
1988-10,37625,
1988-11,37935,
1988-12,39648,
1989-01,42003,
1989-02,41282,
1989-03,43056,
1989-04,44019,
1989-05,44960,
1989-06,45463,
1989-07,46302,
1989-08,47017,
1989-09,46524,
1989-10,46385,
1989-11,45500,
1989-12,45694,
1990-01,45776,
1990-02,44777,
1990-03,45711,
1990-04,45781,
1990-05,46596,
1990-06,47164,
1990-07,47614,
1990-08,46626,
1990-09,46614,
1990-10,47152,
1990-11,46073,
1990-12,46448,
1991-01,46846,
1991-02,47572,
1991-03,49200,
1991-04,50697,
1991-05,51422,
1991-06,52742,
1991-07,52629,
1991-08,52747,
1991-09,53073,
1991-10,54042,
1991-11,52141,
1991-12,52471,
1992-01,54529,
1992-02,54999,
1992-03,55549,
1992-04,56374,
1992-05,56880,
1992-06,56086,
1992-07,55138,
1992-08,52667,
1992-09,51220,
1992-10,51432,
1992-11,48534,
1992-12,46877,
1993-01,46807,
1993-02,46995,
1993-03,47325,
1993-04,47368,
1993-05,47864,
1993-06,48754,
1993-07,48217,
1993-08,48184,
1993-09,47429,
1993-10,48525,
1993-11,48074,
1993-12,48974,
1994-01,50367,
1994-02,50211,
1994-03,49332,
1994-04,49393,
1994-05,49252,
1994-06,48235,
1994-07,48810,
1994-08,48750,
1994-09,48528,
1994-10,48297,
1994-11,48200,
1994-12,47951,
1995-01,47791,
1995-02,47398,
1995-03,47082,
1995-04,47604,
1995-05,48726,
1995-06,48940,
1995-07,49456,
1995-08,50612,
1995-09,50616,
1995-10,50792,
1995-11,51356,
1995-12,52144,
1996-01,53574,
1996-02,52381,
1996-03,53094,
1996-04,54832,
1996-05,55126,
1996-06,55276,
1996-07,55211,
1996-08,55607,
1996-09,56887,
1996-10,57254,
1996-11,57264,
1996-12,57662,
1997-01,59230,
1997-02,60246,
1997-03,59698,
1997-04,60920,
1997-05,61343,
1997-06,62596,
1997-07,63806,
1997-08,62787,
1997-09,63242,
1997-10,62307,
1997-11,61718,
1997-12,62997,
1998-01,64202,
1998-02,64668,
1998-03,65712,
1998-04,65464,
1998-05,65741,
1998-06,66456,
1998-07,66243,
1998-08,66240,
1998-09,64463,
1998-10,63028,
1998-11,63508,
1998-12,63993,
1999-01,66287,
1999-02,66347,
1999-03,67490,
1999-04,69241,
1999-05,69258,
1999-06,68224,
1999-07,67599,
1999-08,67529,
1999-09,67423,
1999-10,66971,
1999-11,66016,
1999-12,66315,
2000-01,64389,
2000-02,63351,
2000-03,64345,
2000-04,64320,
2000-05,62601,
2000-06,62601,
2000-07,62794,
2000-08,62614,
2000-09,61816,
2000-10,61710,
2000-11,60407,
2000-12,59887,
2001-01,60371,
2001-02,60387,
2001-03,60427,
2001-04,60563,
2001-05,61269,
2001-06,61522,
2001-07,61721,
2001-08,62023,
2001-09,61676,
2001-10,63631,
2001-11,63821,
2001-12,63624,
2002-01,64648,
2002-02,65421,
2002-03,65228,
2002-04,65525,
2002-05,65140,
2002-06,64506,
2002-07,65003,
2002-08,66373,
2002-09,66829,
