"",BBK01.CEHR2Q,BBK01.CEHR2Q_FLAGS
"",longer-term time deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:03,
1991-01,2.6,
1991-04,3.2,
1991-07,4.0,
1991-10,9.6,
1992-01,8.8,
1992-04,7.5,
1992-07,6.5,
1992-10,5.8,
1993-01,6.7,
1993-04,7.2,
1993-07,8.8,
1993-10,15.2,
1994-01,16.3,
1994-04,10.8,
1994-07,10.9,
1994-10,16.0,
1995-01,17.4,
1995-04,15.2,
1995-07,12.5,
1995-10,15.3,
1996-01,19.6,
1996-04,14.6,
1996-07,11.9,
1996-10,15.4,
1997-01,18.5,
1997-04,11.8,
1997-07,7.4,
1997-10,11.8,
1998-01,15.3,
1998-04,12.0,
1998-07,7.3,
1998-10,3.4,
1999-01,24.3,
1999-04,3.8,
1999-07,12.2,
1999-10,13.4,
2000-01,15.1,
2000-04,7.6,
2000-07,5.4,
2000-10,7.1,
2001-01,8.3,
2001-04,16.5,
2001-07,6.2,
2001-10,-9.7,
2002-01,11.2,
2002-04,2.8,
2002-07,4.8,
2002-10,16.4,
2003-01,5.3,
2003-04,0.4,
2003-07,3.5,
2003-10,6.2,
2004-01,-4.5,
2004-04,13.2,
2004-07,10.5,
2004-10,7.7,
2005-01,11.3,
2005-04,-0.4,
2005-07,0.5,
2005-10,-5.2,
2006-01,-0.4,
2006-04,8.5,
2006-07,8.4,
2006-10,-3.3,
2007-01,0.6,
2007-04,7.7,
2007-07,2.1,
2007-10,-7.8,
2008-01,-1.6,
2008-04,1.9,
2008-07,2.7,
2008-10,29.2,
2009-01,7.4,
2009-04,14.4,
2009-07,-2.1,
2009-10,-19.0,
2010-01,-2.4,
2010-04,-9.8,
2010-07,-4.6,
2010-10,11.3,
2011-01,-14.2,
2011-04,-9.9,
2011-07,-6.2,
2011-10,-5.6,
2012-01,-8.5,
2012-04,-12.8,
2012-07,-8.9,
2012-10,-21.0,
2013-01,-11.7,
2013-04,-7.9,
2013-07,-21.7,
2013-10,-10.1,
2014-01,-10.7,
