"",BBK01.OEAC38L,BBK01.OEAC38L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:45,
2002-01,1.295,
2002-04,1.519,
2002-07,1.513,
2002-10,1.567,
2003-01,1.171,
2003-04,1.145,
2003-07,1.287,
2003-10,1.494,
2004-01,1.669,
2004-04,1.846,
2004-07,1.880,
2004-10,1.658,
2005-01,1.828,
2005-04,2.057,
2005-07,2.110,
2005-10,3.498,
2006-01,3.881,
2006-04,3.646,
2006-07,4.338,
2006-10,4.116,
2007-01,7.319,
2007-04,7.701,
2007-07,7.423,
2007-10,7.203,
2008-01,6.997,
2008-04,6.553,
2008-07,6.367,
2008-10,6.156,
2009-01,6.080,
2009-04,6.465,
2009-07,6.051,
2009-10,6.564,
2010-01,5.344,
2010-04,5.388,
2010-07,5.146,
2010-10,4.535,
2011-01,5.067,
2011-04,5.018,
2011-07,5.166,
2011-10,4.639,
2012-01,4.406,
2012-04,4.300,
2012-07,4.412,
2012-10,4.340,
2013-01,4.373,
2013-04,4.450,
2013-07,4.694,
2013-10,4.679,
2014-01,4.622,
2014-04,4.449,
2014-07,4.535,
