"",BBSF2.M.1.T.00000.DGW01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:38,
2009-09,11252,
2009-10,11316,
2009-11,11548,
2009-12,12294,
2010-01,12419,
2010-02,12424,
2010-03,12977,
2010-04,13253,
2010-05,13121,
2010-06,14860,
2010-07,15132,
2010-08,15499,
2010-09,16413,
2010-10,16815,
2010-11,16959,
2010-12,17413,
2011-01,17360,
2011-02,17556,
2011-03,17390,
2011-04,17801,
2011-05,17484,
2011-06,17528,
2011-07,17716,
2011-08,17060,
2011-09,16862,
2011-10,17699,
2011-11,17141,
2011-12,17659,
2012-01,18417,
2012-02,18691,
2012-03,18826,
2012-04,18939,
2012-05,18658,
2012-06,18483,
2012-07,19484,
2012-08,19206,
2012-09,19510,
2012-10,19206,
2012-11,19348,
2012-12,19780,
2013-01,20113,
2013-02,20321,
2013-03,20555,
2013-04,21058,
2013-05,20893,
2013-06,19994,
2013-07,20341,
2013-08,20209,
2013-09,19724,
2013-10,20379,
2013-11,20395,
2013-12,20329,
2014-01,20505,
2014-02,21030,
2014-03,21406,
2014-04,21577,
2014-05,22092,
2014-06,22451,
2014-07,22682,
2014-08,23083,
2014-09,23280,
2014-10,23376,
2014-11,23944,
