"",BBK01.OEAK02O,BBK01.OEAK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:13,
2002-01,1.156,
2002-04,1.140,
2002-07,1.232,
2002-10,1.258,
2003-01,1.255,
2003-04,1.225,
2003-07,1.234,
2003-10,1.350,
2004-01,1.287,
2004-04,1.250,
2004-07,1.263,
2004-10,1.345,
2005-01,2.683,
2005-04,2.723,
2005-07,2.843,
2005-10,2.965,
2006-01,2.870,
2006-04,2.886,
2006-07,2.907,
2006-10,3.100,
2007-01,3.000,
2007-04,3.006,
2007-07,2.995,
2007-10,3.140,
2008-01,2.937,
2008-04,2.905,
2008-07,2.875,
2008-10,3.186,
2009-01,3.262,
2009-04,3.471,
2009-07,3.708,
2009-10,4.034,
2010-01,4.001,
2010-04,4.059,
2010-07,4.292,
2010-10,4.696,
2011-01,4.386,
2011-04,4.332,
2011-07,4.448,
2011-10,4.876,
2012-01,4.630,
2012-04,4.707,
2012-07,4.963,
2012-10,5.512,
2013-01,5.295,
2013-04,5.337,
2013-07,5.603,
2013-10,5.932,
2014-01,5.910,
2014-04,5.970,
2014-07,6.154,
