"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F4.T._T.N.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:55,
1991-01,5874.891,
1991-04,4745.564,
1991-07,2441.621,
1991-10,1145.596,
1992-01,-4910.863,
1992-04,1007.525,
1992-07,5489.824,
1992-10,3061.518,
1993-01,2767.725,
1993-04,575.013,
1993-07,1412.375,
1993-10,1261.509,
1994-01,314.343,
1994-04,-967.310,
1994-07,-486.414,
1994-10,658.859,
1995-01,3701.257,
1995-04,-943.263,
1995-07,820.479,
1995-10,4953.697,
1996-01,-1269.702,
1996-04,673.178,
1996-07,1411.371,
1996-10,1272.268,
1997-01,-1037.473,
1997-04,5476.845,
1997-07,-4520.452,
1997-10,812.378,
1998-01,3601.750,
1998-04,54.794,
1998-07,2390.338,
1998-10,1515.422,
1999-01,565.386,
1999-04,2717.828,
1999-07,-696.048,
1999-10,5327.684,
2000-01,14358.628,
2000-04,-8398.631,
2000-07,-1711.262,
2000-10,-2042.485,
2001-01,2698.739,
2001-04,5094.420,
2001-07,-822.669,
2001-10,-953.560,
2002-01,6838.476,
2002-04,-3851.123,
2002-07,1410.211,
2002-10,-3551.268,
2003-01,2400.091,
2003-04,-1545.255,
2003-07,1071.753,
2003-10,2688.157,
2004-01,6888.017,
2004-04,-2147.059,
2004-07,-2677.244,
2004-10,-699.524,
2005-01,12285.727,
2005-04,2162.251,
2005-07,8657.889,
2005-10,3537.910,
2006-01,12497.374,
2006-04,10696.614,
2006-07,8495.470,
2006-10,4539.199,
2007-01,11083.206,
2007-04,13739.201,
2007-07,9094.876,
2007-10,-3718.812,
2008-01,25015.106,
2008-04,8938.623,
2008-07,-4731.495,
2008-10,14689.711,
2009-01,2903.287,
2009-04,-6010.362,
2009-07,-6713.119,
2009-10,2623.235,
2010-01,-15567.420,
2010-04,9009.594,
2010-07,12566.287,
2010-10,87621.239,
2011-01,-18037.430,
2011-04,3691.613,
2011-07,29468.454,
2011-10,17589.848,
2012-01,-19094.021,
2012-04,19137.572,
2012-07,-27735.354,
2012-10,-730.286,
2013-01,810.186,
2013-04,18248.750,
2013-07,-14289.548,
2013-10,-26927.507,
2014-01,385.895,
2014-04,7108.137,
2014-07,-7902.121,
