"",BBDE1.M.DE.Y.AEN1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEN1.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:56,
2010-01,87.1,
2010-02,88.9,
2010-03,96.9,
2010-04,98.5,
2010-05,99.4,
2010-06,102.7,
2010-07,99.4,
2010-08,102.1,
2010-09,101.8,
2010-10,104.7,
2010-11,106.3,
2010-12,105.5,
2011-01,108.1,
2011-02,113.1,
2011-03,109.3,
2011-04,109.5,
2011-05,108.6,
2011-06,109.0,
2011-07,111.3,
2011-08,109.2,
2011-09,108.0,
2011-10,108.1,
2011-11,108.0,
2011-12,107.3,
2012-01,107.6,
2012-02,108.4,
2012-03,108.1,
2012-04,108.4,
2012-05,108.0,
2012-06,107.4,
2012-07,106.9,
2012-08,103.0,
2012-09,102.4,
2012-10,103.6,
2012-11,102.9,
2012-12,104.3,
2013-01,103.9,
2013-02,103.7,
2013-03,108.2,
2013-04,105.7,
2013-05,102.2,
2013-06,109.3,
2013-07,108.7,
2013-08,111.3,
2013-09,108.7,
2013-10,108.1,
2013-11,112.8,
2013-12,108.2,
2014-01,110.9,
2014-02,112.5,
2014-03,113.0,
2014-04,114.7,
2014-05,109.7,
2014-06,108.9,
2014-07,111.8,
2014-08,108.2,
2014-09,108.0,
2014-10,115.5,
2014-11,110.1,
2014-12,113.8,Provisional value
